variant,day,product,pnl
baseline,4,SLEEP_POD_LAMB_WOOL,0
baseline,4,SLEEP_POD_NYLON,4818
baseline,4,SLEEP_POD_POLYESTER,7685
baseline,4,SLEEP_POD_SUEDE,-6316
baseline,4,SNACKPACK_CHOCOLATE,5548
baseline,4,SNACKPACK_PISTACHIO,2022
baseline,4,SNACKPACK_RASPBERRY,5660
baseline,4,SNACKPACK_STRAWBERRY,1860
baseline,4,SNACKPACK_VANILLA,2102
baseline,4,TRANSLATOR_ASTRO_BLACK,7680
baseline,4,TRANSLATOR_ECLIPSE_CHARCOAL,7468
baseline,4,TRANSLATOR_GRAPHITE_MIST,0
baseline,4,TRANSLATOR_SPACE_GRAY,-14824
baseline,4,TRANSLATOR_VOID_BLUE,5676
baseline,4,UV_VISOR_AMBER,11048
baseline,4,UV_VISOR_MAGENTA,6975
baseline,4,UV_VISOR_ORANGE,9194
baseline,4,UV_VISOR_RED,110
baseline,4,UV_VISOR_YELLOW,854
simple_mr_skew_all50,2,GALAXY_SOUNDS_BLACK_HOLES,14369
simple_mr_skew_all50,2,GALAXY_SOUNDS_DARK_MATTER,7743
simple_mr_skew_all50,2,GALAXY_SOUNDS_PLANETARY_RINGS,3870
simple_mr_skew_all50,2,GALAXY_SOUNDS_SOLAR_FLAMES,7212
simple_mr_skew_all50,2,GALAXY_SOUNDS_SOLAR_WINDS,6133
simple_mr_skew_all50,2,MICROCHIP_CIRCLE,24218
simple_mr_skew_all50,2,MICROCHIP_OVAL,-1839
simple_mr_skew_all50,2,MICROCHIP_RECTANGLE,-6178
simple_mr_skew_all50,2,MICROCHIP_SQUARE,-11957
simple_mr_skew_all50,2,MICROCHIP_TRIANGLE,-12553
simple_mr_skew_all50,2,OXYGEN_SHAKE_CHOCOLATE,-20076
simple_mr_skew_all50,2,OXYGEN_SHAKE_EVENING_BREATH,8448
simple_mr_skew_all50,2,OXYGEN_SHAKE_GARLIC,-12460
simple_mr_skew_all50,2,OXYGEN_SHAKE_MINT,-19313
simple_mr_skew_all50,2,OXYGEN_SHAKE_MORNING_BREATH,-3505
simple_mr_skew_all50,2,PANEL_1X2,-19241
simple_mr_skew_all50,2,PANEL_1X4,-25987
simple_mr_skew_all50,2,PANEL_2X2,-17014
simple_mr_skew_all50,2,PANEL_2X4,-18005
simple_mr_skew_all50,2,PANEL_4X4,-25470
simple_mr_skew_all50,2,PEBBLES_L,-30659
simple_mr_skew_all50,2,PEBBLES_M,-11314
simple_mr_skew_all50,2,PEBBLES_S,-36897
simple_mr_skew_all50,2,PEBBLES_XL,-6691
simple_mr_skew_all50,2,PEBBLES_XS,-6182
simple_mr_skew_all50,2,ROBOT_DISHES,-116
simple_mr_skew_all50,2,ROBOT_IRONING,-4219
simple_mr_skew_all50,2,ROBOT_LAUNDRY,1907
simple_mr_skew_all50,2,ROBOT_MOPPING,-14128
simple_mr_skew_all50,2,ROBOT_VACUUMING,-4651
simple_mr_skew_all50,2,SLEEP_POD_COTTON,-31161
simple_mr_skew_all50,2,SLEEP_POD_LAMB_WOOL,-35022
simple_mr_skew_all50,2,SLEEP_POD_NYLON,-19408
simple_mr_skew_all50,2,SLEEP_POD_POLYESTER,-4931
simple_mr_skew_all50,2,SLEEP_POD_SUEDE,-16702
simple_mr_skew_all50,2,SNACKPACK_CHOCOLATE,-2695
simple_mr_skew_all50,2,SNACKPACK_PISTACHIO,-5533
simple_mr_skew_all50,2,SNACKPACK_RASPBERRY,-11665
simple_mr_skew_all50,2,SNACKPACK_STRAWBERRY,-18131
simple_mr_skew_all50,2,SNACKPACK_VANILLA,1501
simple_mr_skew_all50,2,TRANSLATOR_ASTRO_BLACK,-3926
simple_mr_skew_all50,2,TRANSLATOR_ECLIPSE_CHARCOAL,-12343
simple_mr_skew_all50,2,TRANSLATOR_GRAPHITE_MIST,-7092
simple_mr_skew_all50,2,TRANSLATOR_SPACE_GRAY,-6423
simple_mr_skew_all50,2,TRANSLATOR_VOID_BLUE,-4968
simple_mr_skew_all50,2,UV_VISOR_AMBER,-1759
simple_mr_skew_all50,2,UV_VISOR_MAGENTA,550
simple_mr_skew_all50,2,UV_VISOR_ORANGE,-6678
simple_mr_skew_all50,2,UV_VISOR_RED,-14862
simple_mr_skew_all50,2,UV_VISOR_YELLOW,10198
simple_mr_skew_all50,3,GALAXY_SOUNDS_BLACK_HOLES,16393
simple_mr_skew_all50,3,GALAXY_SOUNDS_DARK_MATTER,8771
simple_mr_skew_all50,3,GALAXY_SOUNDS_PLANETARY_RINGS,-1439
