candidate_id,lens,group,target,label,robust_param_count,best_total_pnl,best_min_day_pnl,best_trades,best_center_mode,best_threshold,best_horizon,best_exit_rule,best_slope_mode,best_vol_mode,thresholds_passing,horizons_passing,centers_passing,slope_modes_passing,vol_modes_passing
pair_ols|SNACKPACK|SNACKPACK_VANILLA|SNACKPACK_PISTACHIO,pair_ols,SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_VANILLA ~ SNACKPACK_PISTACHIO,59,12220.0,3360.0,23,open100,1.5,500,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw","any,reverting","any,high_vol,low_vol"
pca2_residual|SLEEP_POD|SLEEP_POD_LAMB_WOOL|k=2,pca2_residual,SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL minus PCA2 reconstruction,56,26810.0,6910.0,18,raw,2.0,500,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","expanding,raw","any,reverting","any,high_vol,low_vol"
"integer_combo|GALAXY_SOUNDS|GALAXY_SOUNDS_BLACK_HOLES|-1,1,-1,-1,-1",integer_combo,GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,-1*GALAXY_SOUNDS_DARK_MATTER +1*GALAXY_SOUNDS_BLACK_HOLES -1*GALAXY_SOUNDS_PLANETARY_RINGS -1*GALAXY_SOUNDS_SOLAR_WINDS -1*GALAXY_SOUNDS_SOLAR_FLAMES,56,20030.0,4300.0,48,raw,1.5,500,fixed,any,high_vol,"1.5,2.0,2.5,3.0","200,500",raw,"any,reverting","any,high_vol,low_vol"
pca2_residual|PANEL|PANEL_4X4|k=2,pca2_residual,PANEL,PANEL_4X4,PANEL_4X4 minus PCA2 reconstruction,56,14470.0,3440.0,39,rolling500,1.5,500,fixed,any,any,"1.5,2.0,2.5,3.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|TRANSLATOR_SPACE_GRAY,pair_ols,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_GRAPHITE_MIST ~ TRANSLATOR_SPACE_GRAY,56,11120.0,3160.0,23,rolling500,2.0,500,fixed,any,any,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|UV_VISOR|UV_VISOR_ORANGE|UV_VISOR_RED,pair_ols,UV_VISOR,UV_VISOR_ORANGE,UV_VISOR_ORANGE ~ UV_VISOR_RED,54,24770.0,7970.0,18,raw,2.5,500,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","open100,raw","any,reverting","any,high_vol,low_vol"
pca2_residual|OXYGEN_SHAKE|OXYGEN_SHAKE_MINT|k=2,pca2_residual,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MINT minus PCA2 reconstruction,54,23260.0,5810.0,38,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0,2.5","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
pair_ols|PANEL|PANEL_4X4|PANEL_1X4,pair_ols,PANEL,PANEL_4X4,PANEL_4X4 ~ PANEL_1X4,52,14540.0,4160.0,12,raw,2.0,500,fixed,any,high_vol,"1.5,2.0,2.5","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
"basket_1v4|UV_VISOR|UV_VISOR_MAGENTA|UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED",basket_1v4,UV_VISOR,UV_VISOR_MAGENTA,UV_VISOR_MAGENTA ~ other 4,51,21230.0,4830.0,36,raw,1.5,500,fixed,any,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|UV_VISOR|UV_VISOR_MAGENTA|k=1,pca1_residual,UV_VISOR,UV_VISOR_MAGENTA,UV_VISOR_MAGENTA minus PCA1 reconstruction,50,25460.0,5790.0,61,raw,2.0,200,fixed,any,any,"1.5,2.0","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
pca2_residual|PANEL|PANEL_1X2|k=2,pca2_residual,PANEL,PANEL_1X2,PANEL_1X2 minus PCA2 reconstruction,50,31420.0,4500.0,38,raw,3.0,500,fixed,any,any,"1.5,2.0,2.5,3.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|SNACKPACK|SNACKPACK_VANILLA|k=1,pca1_residual,SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_VANILLA minus PCA1 reconstruction,50,10480.0,2710.0,24,expanding,1.5,500,zero_cross,any,any,"1.5,2.0","200,500","expanding,open100,rolling500","any,reverting","any,low_vol"
pca2_residual|SNACKPACK|SNACKPACK_PISTACHIO|k=2,pca2_residual,SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_PISTACHIO minus PCA2 reconstruction,47,7890.0,2030.0,25,raw,1.5,500,fixed,reverting,low_vol,"1.5,2.0,2.5","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
