verdict,group,target,threshold,horizon,exit_rule,depth_total_pnl,depth_min_day_pnl,depth_trades,depth_win_pct,signal_count,buy_signals,sell_signals,stable_threshold_count,stable_thresholds,simple_total_pnl_same_rule,simple_min_day_pnl_same_rule,simple_positive_days_same_rule,leaky_total_pnl_same_rule,top_short_trade_pct
accepted,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,500,zero_cross,48276.9999999999,9527.999999999975,48,0.7708333333333334,17801,9873,7928,4,"1.5,2,2.5,3",22317.999999999938,1976.0000000000036,3,17172.999999999975,0.25
accepted,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,500,fixed_horizon,38539.99999999991,6207.9999999999745,47,0.7446808510638298,17801,9873,7928,4,"1.5,2,2.5,3",20857.999999999938,1976.0000000000036,3,18227.999999999975,0.23404255319148937
accepted,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,200,zero_cross,33967.9999999999,1730.9999999999673,102,0.5882352941176471,17801,9873,7928,4,"1.5,2,2.5,3",20486.99999999997,307.9999999999927,3,15216.99999999997,0.28921568627450983
accepted,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,200,fixed_horizon,33229.99999999991,1730.9999999999673,102,0.5882352941176471,17801,9873,7928,4,"1.5,2,2.5,3",20486.99999999997,307.9999999999927,3,15009.999999999964,0.28431372549019607
accepted,UV_VISOR,UV_VISOR_MAGENTA,1.5,500,fixed_horizon,21202.000000000007,4802.000000000007,36,0.5833333333333334,13476,5131,8345,2,"1.5,2.5",26825.999999999985,3940.0,3,8637.000000000007,0.013888888888888888
accepted,UV_VISOR,UV_VISOR_MAGENTA,1.5,500,zero_cross,13772.000000000007,330.0,36,0.5833333333333334,13476,5131,8345,3,"1.5,2,2.5",26825.999999999985,3940.0,3,8637.000000000007,0.013888888888888888
accepted,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,zero_cross,9870.0,210.0,40,0.5,16174,5049,11125,3,"1.5,2.5,3",12337.999999999993,3890.0,3,7942.000000000007,0.0
accepted,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,fixed_horizon,9850.0,210.0,40,0.5,16174,5049,11125,3,"1.5,2.5,3",12337.999999999993,3890.0,3,7942.000000000007,0.0
reject,MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,zero_cross,34009.00000000006,10988.000000000002,33,0.6060606060606061,8656,3010,5646,1,1.5,1631.9999999999618,-8507.000000000016,1,39244.999999999985,0.9242424242424242
reject,MICROCHIP,MICROCHIP_RECTANGLE,1.5,500,fixed_horizon,33489.00000000005,9920.999999999995,33,0.6060606060606061,8656,3010,5646,1,1.5,1631.9999999999618,-8507.000000000016,1,40243.99999999997,0.9090909090909091
reject,SLEEP_POD,SLEEP_POD_SUEDE,2.5,500,fixed_horizon,22203.99999999994,2055.0,34,0.5882352941176471,12472,9257,3215,1,2.5,5442.9999999999745,0.0,2,4988.999999999996,0.2647058823529412
reject,SLEEP_POD,SLEEP_POD_SUEDE,2.5,500,zero_cross,22203.99999999994,2055.0,34,0.5882352941176471,12472,9257,3215,1,2.5,5442.9999999999745,0.0,2,4988.999999999996,0.2647058823529412
reject,ROBOT,ROBOT_IRONING,3.0,500,fixed_horizon,20580.999999999956,1725.9999999999854,25,0.56,9111,7992,1119,4,"1.5,2,2.5,3",0.0,0.0,0,0.0,0.96
reject,ROBOT,ROBOT_IRONING,3.0,500,zero_cross,20580.999999999956,1725.9999999999854,25,0.56,9111,7992,1119,4,"1.5,2,2.5,3",0.0,0.0,0,0.0,0.96
reject,SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,500,fixed_horizon,20372.999999999938,1168.99999999996,22,0.7272727272727273,6914,810,6104,1,1.5,578.9999999999418,-4325.000000000036,1,29731.999999999953,0.3409090909090909
reject,MICROCHIP,MICROCHIP_RECTANGLE,1.5,200,zero_cross,19380.000000000036,5713.000000000002,62,0.5645161290322581,8656,3010,5646,1,1.5,1525.0000000000182,-9037.000000000007,1,25584.00000000005,0.8629032258064516
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,200,fixed_horizon,19190.0,3400.0,28,0.6071428571428571,4505,2492,2013,3,"1.5,2,2.5",-2590.0,-2590.0,0,2760.0,0.0
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,200,zero_cross,19190.0,3400.0,28,0.6071428571428571,4505,2492,2013,3,"1.5,2,2.5",-2590.0,-2590.0,0,2760.0,0.0
reject,SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,200,fixed_horizon,18614.999999999964,3807.9999999999745,47,0.6170212765957447,6914,810,6104,1,1.5,-1114.9999999999454,-5265.999999999949,1,25484.999999999964,0.3191489361702128
reject,SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,200,zero_cross,18614.999999999964,3807.9999999999745,47,0.6170212765957447,6914,810,6104,1,1.5,-1114.9999999999454,-5265.999999999949,1,25484.999999999964,0.3191489361702128
reject,SLEEP_POD,SLEEP_POD_LAMB_WOOL,1.5,500,zero_cross,18462.999999999938,1168.99999999996,22,0.7272727272727273,6914,810,6104,1,1.5,578.9999999999418,-4325.000000000036,1,29731.999999999953,0.3409090909090909
reject,MICROCHIP,MICROCHIP_RECTANGLE,1.5,200,fixed_horizon,18145.000000000036,4478.000000000002,62,0.5645161290322581,8656,3010,5646,1,1.5,1525.0000000000182,-9037.000000000007,1,22933.000000000047,0.8548387096774194
reject,ROBOT,ROBOT_IRONING,3.0,200,fixed_horizon,16753.000000000065,979.0000000000146,58,0.5517241379310345,9111,7992,1119,2,"2.5,3",0.0,0.0,0,0.0,0.9655172413793104
reject,ROBOT,ROBOT_IRONING,3.0,200,zero_cross,16753.000000000065,979.0000000000146,58,0.5517241379310345,9111,7992,1119,2,"2.5,3",0.0,0.0,0,0.0,0.9655172413793104
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,100,fixed_horizon,16380.0,1330.0,97,0.5257731958762887,7870,4753,3117,2,"2,2.5",-3668.9999999999964,-6048.999999999996,1,5880.0,0.015463917525773196
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,100,zero_cross,16380.0,1330.0,97,0.5257731958762887,7870,4753,3117,2,"2,2.5",-3668.9999999999964,-6048.999999999996,1,5880.0,0.015463917525773196
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,100,fixed_horizon,13610.0,900.0,53,0.6415094339622641,4505,2492,2013,2,"2,2.5",-2800.0,-2800.0,0,1940.0,0.0
reject,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,100,zero_cross,13610.0,900.0,53,0.6415094339622641,4505,2492,2013,2,"2,2.5",-2800.0,-2800.0,0,1940.0,0.0
reject,SLEEP_POD,SLEEP_POD_SUEDE,2.5,200,fixed_horizon,12877.999999999956,1496.0000000000036,74,0.581081081081081,12472,9257,3215,1,2.5,3884.9999999999272,0.0,2,630.0,0.24324324324324326
reject,SLEEP_POD,SLEEP_POD_SUEDE,2.5,200,zero_cross,12877.999999999956,1496.0000000000036,74,0.581081081081081,12472,9257,3215,1,2.5,3884.9999999999272,0.0,2,630.0,0.24324324324324326
reject,ROBOT,ROBOT_IRONING,3.0,100,fixed_horizon,12312.999999999956,1453.9999999999964,108,0.5462962962962963,9111,7992,1119,1,3,0.0,0.0,0,0.0,0.9675925925925926
