group,target,center_mode,threshold,horizon,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold
PANEL,PANEL_2X2,open500,2.0,100,3,-1760.0,-4410.0,2,204,0.49019607843137253,-8.627450980392156,99.82843137254902
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.0,200,3,-1900.0,-7520.0,2,53,0.5094339622641509,-35.84905660377358,196.77358490566039
SLEEP_POD,SLEEP_POD_POLYESTER,open500,1.5,50,3,-2860.0,-18630.0,2,238,0.4831932773109244,-12.016806722689076,49.92857142857143
SLEEP_POD,SLEEP_POD_POLYESTER,open500,2.5,50,3,-3910.0,-10390.0,2,104,0.5096153846153846,-37.59615384615385,49.59615384615385
UV_VISOR,UV_VISOR_MAGENTA,open500,2.0,100,3,-4550.0,-10780.0,2,126,0.4603174603174603,-36.111111111111114,98.76984126984127
TRANSLATOR,TRANSLATOR_VOID_BLUE,open500,1.5,50,3,-5910.0,-6810.0,2,210,0.48095238095238096,-28.142857142857142,49.92857142857143
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,1.5,200,3,-6020.0,-16230.0,2,73,0.4657534246575342,-82.46575342465754,198.26027397260273
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.0,200,3,-7390.0,-14310.0,2,58,0.5,-127.41379310344827,199.67241379310346
SLEEP_POD,SLEEP_POD_POLYESTER,open500,2.0,50,3,-8380.0,-12760.0,2,162,0.46296296296296297,-51.72839506172839,49.99382716049383
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.0,100,3,-11740.0,-12880.0,2,93,0.44086021505376344,-126.23655913978494,99.84946236559139
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,1.5,100,3,-17570.0,-22860.0,2,138,0.391304347826087,-127.31884057971014,99.33333333333333
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.0,100,3,-17600.0,-20250.0,2,111,0.44144144144144143,-158.55855855855856,99.43243243243244
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.0,50,3,-33720.0,-34220.0,2,217,0.4055299539170507,-155.3917050691244,49.774193548387096
ROBOT,ROBOT_IRONING,open500,2.5,200,3,14420.0,-1140.0,1,38,0.5789473684210527,379.4736842105263,194.87179487179486
ROBOT,ROBOT_IRONING,open500,2.0,200,3,11040.0,-2650.0,1,47,0.574468085106383,234.89361702127658,196.29787234042553
ROBOT,ROBOT_IRONING,open500,3.0,500,3,10370.0,-1280.0,1,12,0.6666666666666666,864.1666666666666,461.53846153846155
ROBOT,ROBOT_IRONING,open500,2.5,100,3,9780.0,-3590.0,1,73,0.6027397260273972,133.97260273972603,98.64864864864865
ROBOT,ROBOT_IRONING,open500,2.0,100,3,8540.0,-3670.0,1,88,0.5113636363636364,97.04545454545455,99.14772727272727
ROBOT,ROBOT_IRONING,open500,3.0,100,3,6740.0,-4090.0,1,49,0.5510204081632653,137.55102040816325,98.0
ROBOT,ROBOT_IRONING,open500,3.0,200,3,6510.0,-3140.0,1,26,0.6153846153846154,250.3846153846154,192.59259259259258
ROBOT,ROBOT_IRONING,open500,2.5,50,3,6290.0,-5630.0,1,138,0.5579710144927537,45.57971014492754,49.64028776978417
MICROCHIP,MICROCHIP_RECTANGLE,open500,3.0,50,3,5480.0,0.0,1,16,0.625,342.5,44.44444444444444
MICROCHIP,MICROCHIP_RECTANGLE,open500,3.0,200,3,4510.0,0.0,1,5,0.6,902.0,142.85714285714286
MICROCHIP,MICROCHIP_RECTANGLE,open500,3.0,100,3,3810.0,0.0,1,9,0.5555555555555556,423.3333333333333,81.81818181818181
MICROCHIP,MICROCHIP_RECTANGLE,open500,3.0,500,3,3370.0,0.0,1,2,0.5,1685.0,250.0
