variant,group,target,threshold,horizon,exit_rule,days,top_total_pnl,top_min_day_pnl,top_positive_days,top_trades,top_win_pct,depth_total_pnl,depth_min_day_pnl,depth_positive_days,depth_trades,depth_win_pct,avg_depth_pnl_per_trade,signal_count,buy_signals,sell_signals,entry_top_short,exit_top_short,top_short_trade_pct,depth_unfilled,avg_hold,max_hold
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,500,zero_cross,3,15770.0,4460.0,3,10,0.7,15727.999999999993,4417.999999999993,3,10,0.7,1572.7999999999993,2502,2150,352,1,0,0.05,0,478.7,500
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,1.5,100,zero_cross,3,15730.0,4530.0,3,67,0.5970149253731343,15682.000000000007,4482.000000000007,3,67,0.5970149253731343,234.0597014925374,3810,2285,1525,1,0,0.007462686567164179,0,98.85074626865672,100
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,1.5,100,fixed_horizon,3,15720.0,4530.0,3,67,0.5970149253731343,15672.000000000007,4482.000000000007,3,67,0.5970149253731343,233.91044776119415,3810,2285,1525,1,0,0.007462686567164179,0,98.86567164179104,100
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,1.5,500,fixed_horizon,3,14670.0,2780.0,3,25,0.72,14637.999999999993,2780.0,3,25,0.72,585.5199999999998,6442,3284,3158,1,0,0.02,0,493.12,500
demean_group_mean_loo,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,50,fixed_horizon,3,13900.0,1920.0,3,201,0.5373134328358209,13308.99999999985,1855.0,3,201,0.5323383084577115,66.21393034825796,9074,7415,1659,68,71,0.34577114427860695,0,50.0,50
demean_group_mean_loo,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,50,zero_cross,3,13900.0,1920.0,3,201,0.5373134328358209,13308.99999999985,1855.0,3,201,0.5323383084577115,66.21393034825796,9074,7415,1659,68,71,0.34577114427860695,0,50.0,50
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,2.0,500,zero_cross,3,13070.0,1020.0,3,8,1.0,13070.0,1020.0,3,8,1.0,1633.75,951,571,380,0,0,0.0,0,474.125,500
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1.5,500,fixed_horizon,3,12470.0,2300.0,3,22,0.5909090909090909,12424.999999999982,2300.0,3,22,0.5909090909090909,564.7727272727265,7473,3258,4215,8,7,0.3409090909090909,0,489.0,500
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1.5,500,zero_cross,3,12470.0,2300.0,3,22,0.5909090909090909,12424.999999999982,2300.0,3,22,0.5909090909090909,564.7727272727265,7473,3258,4215,8,7,0.3409090909090909,0,489.0,500
demean_group_mean_loo,PEBBLES,PEBBLES_M,1.5,100,fixed_horizon,3,12400.0,890.0,3,118,0.576271186440678,12360.0,877.9999999999927,3,118,0.576271186440678,104.7457627118644,9959,4574,5385,1,1,0.00847457627118644,0,99.60169491525424,100
demean_group_mean_loo,PEBBLES,PEBBLES_M,1.5,100,zero_cross,3,12400.0,890.0,3,118,0.576271186440678,12360.0,877.9999999999927,3,118,0.576271186440678,104.7457627118644,9959,4574,5385,1,1,0.00847457627118644,0,99.60169491525424,100
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,2.0,500,fixed_horizon,3,12400.0,1020.0,3,8,1.0,12343.999999999996,1020.0,3,8,1.0,1542.9999999999995,951,571,380,0,1,0.0625,0,497.625,500
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,fixed_horizon,3,12380.0,3890.0,3,20,0.45,12337.999999999993,3890.0,3,20,0.45,616.8999999999996,7041,4329,2712,1,0,0.025,0,497.1,500
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,zero_cross,3,12380.0,3890.0,3,20,0.45,12337.999999999993,3890.0,3,20,0.45,616.8999999999996,7041,4329,2712,1,0,0.025,0,497.1,500
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,1.5,500,zero_cross,3,12310.0,2780.0,3,25,0.72,12277.999999999993,2780.0,3,25,0.72,491.1199999999997,6442,3284,3158,1,0,0.02,0,470.32,500
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,1.5,200,fixed_horizon,3,12030.0,2790.0,3,68,0.5588235294117647,11941.999999999989,2757.9999999999927,3,68,0.5588235294117647,175.61764705882337,12254,9223,3031,1,1,0.014705882352941176,0,199.88235294117646,200
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,1.5,200,zero_cross,3,12030.0,2790.0,3,68,0.5588235294117647,11941.999999999989,2757.9999999999927,3,68,0.5588235294117647,175.61764705882337,12254,9223,3031,1,1,0.014705882352941176,0,199.88235294117646,200
demean_group_mean_loo,PEBBLES,PEBBLES_L,1.5,500,fixed_horizon,3,10570.0,3120.0,3,24,0.4583333333333333,10506.000000000004,3120.0,3,24,0.4583333333333333,437.75000000000017,9095,3596,5499,1,1,0.041666666666666664,0,494.0833333333333,500
demean_group_mean_loo,PEBBLES,PEBBLES_L,1.5,500,zero_cross,3,10570.0,3120.0,3,24,0.4583333333333333,10506.000000000004,3120.0,3,24,0.4583333333333333,437.75000000000017,9095,3596,5499,1,1,0.041666666666666664,0,494.0833333333333,500
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,200,fixed_horizon,3,10400.0,3010.0,3,18,0.5,10372.000000000007,2982.0000000000073,3,18,0.5,576.2222222222226,2502,2150,352,1,0,0.027777777777777776,0,200.0,200
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,200,zero_cross,3,10400.0,3010.0,3,18,0.5,10372.000000000007,2982.0000000000073,3,18,0.5,576.2222222222226,2502,2150,352,1,0,0.027777777777777776,0,200.0,200
demean_group_mean_loo,PEBBLES,PEBBLES_L,1.5,200,fixed_horizon,3,10380.0,1780.0,3,53,0.5471698113207547,10295.0,1731.0000000000036,3,53,0.5471698113207547,194.24528301886792,9095,3596,5499,2,0,0.018867924528301886,0,199.18867924528303,200
demean_group_mean_loo,PEBBLES,PEBBLES_L,1.5,200,zero_cross,3,10380.0,1780.0,3,53,0.5471698113207547,10295.0,1731.0000000000036,3,53,0.5471698113207547,194.24528301886792,9095,3596,5499,2,0,0.018867924528301886,0,199.18867924528303,200
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,2.0,500,fixed_horizon,3,9660.0,2820.0,3,13,0.6923076923076923,9623.999999999996,2820.0,3,13,0.6923076923076923,740.307692307692,2665,1374,1291,1,0,0.038461538461538464,0,482.7692307692308,500
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,2.0,500,zero_cross,3,9660.0,2820.0,3,13,0.6923076923076923,9623.999999999996,2820.0,3,13,0.6923076923076923,740.307692307692,2665,1374,1291,1,0,0.038461538461538464,0,482.7692307692308,500
demean_group_mean_loo,ROBOT,ROBOT_MOPPING,1.5,100,fixed_horizon,3,10440.0,450.0,3,121,0.5785123966942148,9545.999999999913,276.00000000000364,3,121,0.5702479338842975,78.89256198347036,10815,3586,7229,106,103,0.8636363636363636,0,99.38842975206612,100
demean_group_mean_loo,ROBOT,ROBOT_MOPPING,1.5,100,zero_cross,3,10440.0,450.0,3,121,0.5785123966942148,9545.999999999913,276.00000000000364,3,121,0.5702479338842975,78.89256198347036,10815,3586,7229,106,103,0.8636363636363636,0,99.38842975206612,100
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,200,fixed_horizon,3,8690.0,1710.0,3,44,0.5227272727272727,8662.000000000007,1710.0,3,44,0.5227272727272727,196.86363636363652,7041,4329,2712,1,0,0.011363636363636364,0,196.36363636363637,200
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,200,zero_cross,3,8690.0,1710.0,3,44,0.5227272727272727,8662.000000000007,1710.0,3,44,0.5227272727272727,196.86363636363652,7041,4329,2712,1,0,0.011363636363636364,0,196.36363636363637,200
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,1.5,200,fixed_horizon,3,8580.0,290.0,3,49,0.5714285714285714,8580.0,290.0,3,49,0.5714285714285714,175.10204081632654,6442,3284,3158,0,0,0.0,0,198.51020408163265,200
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,1.5,200,zero_cross,3,8580.0,290.0,3,49,0.5714285714285714,8580.0,290.0,3,49,0.5714285714285714,175.10204081632654,6442,3284,3158,0,0,0.0,0,198.51020408163265,200
demean_group_mean_loo,OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,1.5,500,fixed_horizon,3,7810.0,840.0,3,16,0.625,7780.0,840.0,3,16,0.625,486.25,5238,2867,2371,1,0,0.03125,0,483.0,500
demean_group_mean_loo,OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,1.5,500,zero_cross,3,7810.0,840.0,3,16,0.625,7780.0,840.0,3,16,0.625,486.25,5238,2867,2371,1,0,0.03125,0,483.0,500
demean_group_mean_loo,PEBBLES,PEBBLES_M,2.0,50,fixed_horizon,3,7740.0,180.0,3,79,0.5316455696202531,7707.999999999993,180.0,3,79,0.5316455696202531,97.56962025316446,3115,1752,1363,0,1,0.006329113924050633,0,49.55696202531646,50
demean_group_mean_loo,PEBBLES,PEBBLES_M,2.0,50,zero_cross,3,7740.0,180.0,3,79,0.5316455696202531,7707.999999999993,180.0,3,79,0.5316455696202531,97.56962025316446,3115,1752,1363,0,1,0.006329113924050633,0,49.55696202531646,50
demean_group_mean_loo,OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,1.5,200,fixed_horizon,3,7020.0,860.0,3,37,0.4594594594594595,6977.999999999993,860.0,3,37,0.4594594594594595,188.5945945945944,5238,2867,2371,1,0,0.013513513513513514,0,195.16216216216216,200
demean_group_mean_loo,OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,1.5,200,zero_cross,3,7020.0,860.0,3,37,0.4594594594594595,6977.999999999993,860.0,3,37,0.4594594594594595,188.5945945945944,5238,2867,2371,1,0,0.013513513513513514,0,195.16216216216216,200
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,100,fixed_horizon,3,6260.0,1300.0,3,31,0.4838709677419355,6236.000000000004,1276.0000000000036,3,31,0.4838709677419355,201.16129032258075,2502,2150,352,0,1,0.016129032258064516,0,100.0,100
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.0,100,zero_cross,3,6260.0,1300.0,3,31,0.4838709677419355,6236.000000000004,1276.0000000000036,3,31,0.4838709677419355,201.16129032258075,2502,2150,352,0,1,0.016129032258064516,0,100.0,100
demean_group_mean_loo,SNACKPACK,SNACKPACK_CHOCOLATE,1.5,500,zero_cross,3,6180.0,490.0,3,28,0.5714285714285714,6180.0,490.0,3,28,0.5714285714285714,220.71428571428572,9429,6336,3093,0,0,0.0,0,489.0,500
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,2.0,200,fixed_horizon,3,6120.0,890.0,3,24,0.6666666666666666,6083.999999999996,890.0,3,24,0.6666666666666666,253.49999999999986,2665,1374,1291,1,0,0.020833333333333332,0,200.0,200
demean_group_mean_loo,SNACKPACK,SNACKPACK_VANILLA,2.0,200,zero_cross,3,6120.0,890.0,3,24,0.6666666666666666,6083.999999999996,890.0,3,24,0.6666666666666666,253.49999999999986,2665,1374,1291,1,0,0.020833333333333332,0,200.0,200
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,1.5,50,fixed_horizon,3,5900.0,1710.0,3,111,0.5135135135135135,5805.0,1647.0000000000073,3,111,0.5135135135135135,52.2972972972973,3810,2285,1525,0,2,0.009009009009009009,0,49.77477477477478,50
demean_group_mean_loo,SNACKPACK,SNACKPACK_RASPBERRY,1.5,50,zero_cross,3,5900.0,1710.0,3,111,0.5135135135135135,5805.0,1647.0000000000073,3,111,0.5135135135135135,52.2972972972973,3810,2285,1525,0,2,0.009009009009009009,0,49.77477477477478,50
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,1.5,100,fixed_horizon,3,3330.0,150.0,3,132,0.5378787878787878,3144.0000000000146,18.000000000010914,3,132,0.5378787878787878,23.818181818181927,12254,9223,3031,1,4,0.01893939393939394,0,99.87121212121212,100
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,1.5,100,zero_cross,3,3330.0,150.0,3,132,0.5378787878787878,3144.0000000000146,18.000000000010914,3,132,0.5378787878787878,23.818181818181927,12254,9223,3031,1,4,0.01893939393939394,0,99.87121212121212,100
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,200,fixed_horizon,3,49410.0,0.0,2,73,0.589041095890411,48644.99999999989,0.0,2,73,0.589041095890411,666.3698630136971,13494,10000,3494,73,73,1.0,0,196.6216216216216,200
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,200,zero_cross,3,49410.0,0.0,2,73,0.589041095890411,48644.99999999989,0.0,2,73,0.589041095890411,666.3698630136971,13494,10000,3494,73,73,1.0,0,196.6216216216216,200
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,500,fixed_horizon,3,48510.0,0.0,2,32,0.625,48170.99999999995,0.0,2,32,0.625,1505.3437499999984,13494,10000,3494,32,32,1.0,0,484.24242424242425,500
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,500,zero_cross,3,48510.0,0.0,2,32,0.625,48170.99999999995,0.0,2,32,0.625,1505.3437499999984,13494,10000,3494,32,32,1.0,0,484.24242424242425,500
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,500,fixed_horizon,3,45190.0,0.0,2,10,0.9,45190.0,0.0,2,10,0.9,4519.0,2324,2060,264,0,0,0.0,0,454.54545454545456,500
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,500,zero_cross,3,45190.0,0.0,2,10,0.9,45190.0,0.0,2,10,0.9,4519.0,2324,2060,264,0,0,0.0,0,454.54545454545456,500
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,200,fixed_horizon,3,38590.0,0.0,2,20,0.75,38554.0,0.0,2,20,0.75,1927.7,2324,2060,264,0,1,0.025,0,190.47619047619048,200
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,200,zero_cross,3,38590.0,0.0,2,20,0.75,38554.0,0.0,2,20,0.75,1927.7,2324,2060,264,0,1,0.025,0,190.47619047619048,200
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,100,fixed_horizon,3,36240.0,0.0,2,138,0.5507246376811594,34672.00000000006,0.0,2,138,0.5507246376811594,251.24637681159462,13494,10000,3494,138,138,1.0,0,99.28057553956835,100
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,1.5,100,zero_cross,3,36240.0,0.0,2,138,0.5507246376811594,34672.00000000006,0.0,2,138,0.5507246376811594,251.24637681159462,13494,10000,3494,138,138,1.0,0,99.28057553956835,100
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,100,fixed_horizon,3,28620.0,0.0,2,34,0.6470588235294118,28583.999999999996,0.0,2,34,0.6470588235294118,840.7058823529411,2324,2060,264,0,1,0.014705882352941176,0,97.14285714285714,100
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,100,zero_cross,3,28620.0,0.0,2,34,0.6470588235294118,28583.999999999996,0.0,2,34,0.6470588235294118,840.7058823529411,2324,2060,264,0,1,0.014705882352941176,0,97.14285714285714,100
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,2.0,500,fixed_horizon,3,27670.0,0.0,2,21,0.5714285714285714,27466.99999999999,0.0,2,21,0.5714285714285714,1307.9523809523805,10045,10000,45,21,21,1.0,0,476.3636363636364,500
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,2.0,500,zero_cross,3,27670.0,0.0,2,21,0.5714285714285714,27466.99999999999,0.0,2,21,0.5714285714285714,1307.9523809523805,10045,10000,45,21,21,1.0,0,476.3636363636364,500
demean_group_mean_loo,PEBBLES,PEBBLES_XL,2.5,500,fixed_horizon,3,24310.0,0.0,2,17,0.7058823529411765,24310.0,0.0,2,17,0.7058823529411765,1430.0,6737,4495,2242,0,0,0.0,0,472.22222222222223,500
demean_group_mean_loo,PEBBLES,PEBBLES_XL,2.5,500,zero_cross,3,24310.0,0.0,2,17,0.7058823529411765,24310.0,0.0,2,17,0.7058823529411765,1430.0,6737,4495,2242,0,0,0.0,0,472.22222222222223,500
demean_group_mean_loo,PEBBLES,PEBBLES_M,1.5,200,fixed_horizon,3,23650.0,0.0,2,64,0.5625,23625.0,0.0,2,64,0.5625,369.140625,9959,4574,5385,0,1,0.0078125,0,199.46875,200
demean_group_mean_loo,PEBBLES,PEBBLES_M,1.5,200,zero_cross,3,23650.0,0.0,2,64,0.5625,23625.0,0.0,2,64,0.5625,369.140625,9959,4574,5385,0,1,0.0078125,0,199.46875,200
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,2.0,200,fixed_horizon,3,23960.0,0.0,2,51,0.5882352941176471,23487.999999999956,0.0,2,51,0.5882352941176471,460.5490196078423,10045,10000,45,51,51,1.0,0,195.19230769230768,200
demean_group_mean_loo,MICROCHIP,MICROCHIP_SQUARE,2.0,200,zero_cross,3,23960.0,0.0,2,51,0.5882352941176471,23487.999999999956,0.0,2,51,0.5882352941176471,460.5490196078423,10045,10000,45,51,51,1.0,0,195.19230769230768,200
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,50,fixed_horizon,3,23410.0,0.0,2,57,0.6140350877192983,23338.999999999996,0.0,2,57,0.6140350877192983,409.45614035087715,2324,2060,264,2,1,0.02631578947368421,0,49.13793103448276,50
demean_group_mean_loo,PEBBLES,PEBBLES_XL,3.0,50,zero_cross,3,23410.0,0.0,2,57,0.6140350877192983,23338.999999999996,0.0,2,57,0.6140350877192983,409.45614035087715,2324,2060,264,2,1,0.02631578947368421,0,49.13793103448276,50
demean_group_mean_loo,PEBBLES,PEBBLES_L,2.0,200,fixed_horizon,3,21990.0,0.0,2,27,0.7407407407407407,21937.999999999993,0.0,2,27,0.7407407407407407,812.5185185185182,2840,844,1996,1,1,0.037037037037037035,0,192.85714285714286,200
demean_group_mean_loo,PEBBLES,PEBBLES_L,2.0,200,zero_cross,3,21990.0,0.0,2,27,0.7407407407407407,21937.999999999993,0.0,2,27,0.7407407407407407,812.5185185185182,2840,844,1996,1,1,0.037037037037037035,0,192.85714285714286,200
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,500,fixed_horizon,3,20900.0,-1880.0,2,21,0.7142857142857143,20873.999999999978,-1884.0000000000146,2,21,0.7142857142857143,993.999999999999,6359,2158,4201,8,7,0.35714285714285715,0,472.1904761904762,500
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,500,zero_cross,3,20900.0,-1880.0,2,21,0.7142857142857143,20873.999999999978,-1884.0000000000146,2,21,0.7142857142857143,993.999999999999,6359,2158,4201,8,7,0.35714285714285715,0,472.1904761904762,500
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,200,fixed_horizon,3,20600.0,-2290.0,2,44,0.6818181818181818,20516.999999999953,-2321.0000000000036,2,44,0.6818181818181818,466.2954545454535,6359,2158,4201,17,14,0.3522727272727273,0,195.70454545454547,200
demean_group_mean_loo,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1.5,200,zero_cross,3,20600.0,-2290.0,2,44,0.6818181818181818,20516.999999999953,-2321.0000000000036,2,44,0.6818181818181818,466.2954545454535,6359,2158,4201,17,14,0.3522727272727273,0,195.70454545454547,200
demean_group_mean_loo,SLEEP_POD,SLEEP_POD_NYLON,1.5,500,fixed_horizon,3,19200.0,0.0,2,21,0.6666666666666666,19167.999999999975,0.0,2,21,0.6666666666666666,912.7619047619036,8013,993,7020,7,4,0.2619047619047619,0,475.6363636363636,500
demean_group_mean_loo,SLEEP_POD,SLEEP_POD_NYLON,1.5,500,zero_cross,3,19200.0,0.0,2,21,0.6666666666666666,19167.999999999975,0.0,2,21,0.6666666666666666,912.7619047619036,8013,993,7020,7,4,0.2619047619047619,0,475.6363636363636,500
demean_group_mean_loo,PEBBLES,PEBBLES_L,2.0,500,fixed_horizon,3,19150.0,0.0,2,15,0.6,19150.0,0.0,2,15,0.6,1276.6666666666667,2840,844,1996,0,0,0.0,0,468.75,500
demean_group_mean_loo,PEBBLES,PEBBLES_L,2.0,500,zero_cross,3,19150.0,0.0,2,15,0.6,19150.0,0.0,2,15,0.6,1276.6666666666667,2840,844,1996,0,0,0.0,0,468.75,500
demean_group_mean_loo,PEBBLES,PEBBLES_XS,2.0,200,fixed_horizon,3,18540.0,0.0,2,59,0.576271186440678,18512.000000000007,0.0,2,59,0.576271186440678,313.7627118644069,11082,1254,9828,0,1,0.00847457627118644,0,195.83333333333334,200
demean_group_mean_loo,PEBBLES,PEBBLES_XS,2.0,200,zero_cross,3,18540.0,0.0,2,59,0.576271186440678,18512.000000000007,0.0,2,59,0.576271186440678,313.7627118644069,11082,1254,9828,0,1,0.00847457627118644,0,195.83333333333334,200
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,2.0,500,fixed_horizon,3,17710.0,0.0,2,21,0.6666666666666666,17710.0,0.0,2,21,0.6666666666666666,843.3333333333334,8305,7940,365,0,0,0.0,0,476.54545454545456,500
demean_group_mean_loo,UV_VISOR,UV_VISOR_MAGENTA,2.0,500,zero_cross,3,17710.0,0.0,2,21,0.6666666666666666,17710.0,0.0,2,21,0.6666666666666666,843.3333333333334,8305,7940,365,0,0,0.0,0,476.54545454545456,500
demean_group_mean_loo,PEBBLES,PEBBLES_XS,2.0,500,fixed_horizon,3,17680.0,0.0,2,24,0.625,17680.0,0.0,2,24,0.625,736.6666666666666,11082,1254,9828,0,0,0.0,0,479.2,500
