feature_col,importance,source_product,feature
PANEL_2X4__group_mid_rank,13.564852,PANEL_2X4,group_mid_rank
GALAXY_SOUNDS_DARK_MATTER__group_residual_z,13.564262,GALAXY_SOUNDS_DARK_MATTER,group_residual_z
GALAXY_SOUNDS_SOLAR_FLAMES__group_residual_z,13.545602,GALAXY_SOUNDS_SOLAR_FLAMES,group_residual_z
SNACKPACK_RASPBERRY__group_residual_z,13.528546,SNACKPACK_RASPBERRY,group_residual_z
PEBBLES_M__group_residual_z,13.510732,PEBBLES_M,group_residual_z
PANEL_1X4__group_residual_z,13.499988,PANEL_1X4,group_residual_z
SLEEP_POD_COTTON__group_residual_z,13.493099,SLEEP_POD_COTTON,group_residual_z
GALAXY_SOUNDS_BLACK_HOLES__ret50,13.491013,GALAXY_SOUNDS_BLACK_HOLES,ret50
SNACKPACK_RASPBERRY__mid_centered,13.489857,SNACKPACK_RASPBERRY,mid_centered
OXYGEN_SHAKE_CHOCOLATE__group_mid_rank,13.489121,OXYGEN_SHAKE_CHOCOLATE,group_mid_rank
PEBBLES_M__group_mid_rank,13.4755745,PEBBLES_M,group_mid_rank
PEBBLES_XL__group_residual_z,13.474401,PEBBLES_XL,group_residual_z
GALAXY_SOUNDS_SOLAR_FLAMES__group_mid_rank,13.467764,GALAXY_SOUNDS_SOLAR_FLAMES,group_mid_rank
OXYGEN_SHAKE_GARLIC__micro_minus_mid,13.464137,OXYGEN_SHAKE_GARLIC,micro_minus_mid
ROBOT_MOPPING__group_mid_rank,13.462579,ROBOT_MOPPING,group_mid_rank
TRANSLATOR_GRAPHITE_MIST__group_mid_rank,13.461498,TRANSLATOR_GRAPHITE_MIST,group_mid_rank
TRANSLATOR_SPACE_GRAY__group_residual_z,13.459986,TRANSLATOR_SPACE_GRAY,group_residual_z
SLEEP_POD_COTTON__group_mid_rank,13.459948,SLEEP_POD_COTTON,group_mid_rank
PANEL_1X2__group_mid_rank,13.456467,PANEL_1X2,group_mid_rank
PEBBLES_XL__ret50,13.4499,PEBBLES_XL,ret50
PEBBLES_L__group_mid_rank,13.439438,PEBBLES_L,group_mid_rank
SLEEP_POD_COTTON__ret50,13.404449,SLEEP_POD_COTTON,ret50
TRANSLATOR_ASTRO_BLACK__group_mid_rank,13.358782,TRANSLATOR_ASTRO_BLACK,group_mid_rank
MICROCHIP_SQUARE__mid_centered,13.357008,MICROCHIP_SQUARE,mid_centered
TRANSLATOR_ASTRO_BLACK__group_residual_z,13.34666,TRANSLATOR_ASTRO_BLACK,group_residual_z
SNACKPACK_RASPBERRY__spread,13.341007,SNACKPACK_RASPBERRY,spread
ROBOT_VACUUMING__group_residual_z,13.32743,ROBOT_VACUUMING,group_residual_z
ROBOT_MOPPING__ret50,13.32601,ROBOT_MOPPING,ret50
SNACKPACK_CHOCOLATE__spread,13.319326,SNACKPACK_CHOCOLATE,spread
PEBBLES_S__group_mid_rank,13.308484,PEBBLES_S,group_mid_rank
OXYGEN_SHAKE_EVENING_BREATH__group_residual_z,13.302309,OXYGEN_SHAKE_EVENING_BREATH,group_residual_z
PEBBLES_XL__group_mid_rank,13.2942505,PEBBLES_XL,group_mid_rank
GALAXY_SOUNDS_PLANETARY_RINGS__group_mid_rank,13.292416,GALAXY_SOUNDS_PLANETARY_RINGS,group_mid_rank
ROBOT_LAUNDRY__group_mid_rank,13.2915745,ROBOT_LAUNDRY,group_mid_rank
TRANSLATOR_ECLIPSE_CHARCOAL__ret50,13.291483,TRANSLATOR_ECLIPSE_CHARCOAL,ret50
PANEL_1X2__mid_centered,13.289875,PANEL_1X2,mid_centered
SNACKPACK_RASPBERRY__micro_minus_mid,13.263092,SNACKPACK_RASPBERRY,micro_minus_mid
OXYGEN_SHAKE_GARLIC__spread,13.257961,OXYGEN_SHAKE_GARLIC,spread
GALAXY_SOUNDS_SOLAR_WINDS__group_mid_rank,13.252101,GALAXY_SOUNDS_SOLAR_WINDS,group_mid_rank
PEBBLES_L__ret50,13.246116,PEBBLES_L,ret50
OXYGEN_SHAKE_CHOCOLATE__group_residual_z,13.245686,OXYGEN_SHAKE_CHOCOLATE,group_residual_z
PANEL_1X2__imbalance3,13.245068,PANEL_1X2,imbalance3
PEBBLES_M__mid_centered,13.240739,PEBBLES_M,mid_centered
OXYGEN_SHAKE_GARLIC__mid_centered,13.222462,OXYGEN_SHAKE_GARLIC,mid_centered
TRANSLATOR_ECLIPSE_CHARCOAL__spread,13.214879,TRANSLATOR_ECLIPSE_CHARCOAL,spread
PEBBLES_XS__mid_centered,13.214443,PEBBLES_XS,mid_centered
ROBOT_IRONING__ret50,13.211991,ROBOT_IRONING,ret50
SNACKPACK_RASPBERRY__ret50,13.205562,SNACKPACK_RASPBERRY,ret50
SLEEP_POD_LAMB_WOOL__ret50,13.197856,SLEEP_POD_LAMB_WOOL,ret50
UV_VISOR_RED__group_residual_z,13.192886,UV_VISOR_RED,group_residual_z
PEBBLES_XS__group_residual_z,13.186028,PEBBLES_XS,group_residual_z
UV_VISOR_YELLOW__imbalance1,13.183442,UV_VISOR_YELLOW,imbalance1
SNACKPACK_CHOCOLATE__group_residual_z,13.162943,SNACKPACK_CHOCOLATE,group_residual_z
UV_VISOR_ORANGE__mid_centered,13.154281,UV_VISOR_ORANGE,mid_centered
GALAXY_SOUNDS_PLANETARY_RINGS__group_residual_z,13.145313,GALAXY_SOUNDS_PLANETARY_RINGS,group_residual_z
SLEEP_POD_SUEDE__imbalance3,13.133332,SLEEP_POD_SUEDE,imbalance3
ROBOT_IRONING__spread,13.130993,ROBOT_IRONING,spread
UV_VISOR_AMBER__group_mid_rank,13.1269245,UV_VISOR_AMBER,group_mid_rank
ROBOT_VACUUMING__mid_centered,13.1239805,ROBOT_VACUUMING,mid_centered
OXYGEN_SHAKE_MINT__micro_minus_mid,13.120312,OXYGEN_SHAKE_MINT,micro_minus_mid
ROBOT_IRONING__mid_centered,13.1169615,ROBOT_IRONING,mid_centered
MICROCHIP_RECTANGLE__group_mid_rank,13.114115,MICROCHIP_RECTANGLE,group_mid_rank
SNACKPACK_RASPBERRY__imbalance3,13.10362,SNACKPACK_RASPBERRY,imbalance3
SLEEP_POD_NYLON__ret50,13.1033325,SLEEP_POD_NYLON,ret50
MICROCHIP_SQUARE__group_mid_rank,13.0815,MICROCHIP_SQUARE,group_mid_rank
PANEL_2X2__ret50,13.077818,PANEL_2X2,ret50
SNACKPACK_PISTACHIO__imbalance1,13.047333,SNACKPACK_PISTACHIO,imbalance1
UV_VISOR_MAGENTA__imbalance3,13.03713,UV_VISOR_MAGENTA,imbalance3
