split,feature_col,importance,source_product,feature
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__group_residual_z,0.007597258088866848,OXYGEN_SHAKE_EVENING_BREATH,group_residual_z
d23_to_d4,MICROCHIP_RECTANGLE__mid_centered,0.007536482865349559,MICROCHIP_RECTANGLE,mid_centered
d23_to_d4,UV_VISOR_MAGENTA__mid_centered,0.007528976162047307,UV_VISOR_MAGENTA,mid_centered
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS__mid_centered,0.007518766578392214,GALAXY_SOUNDS_PLANETARY_RINGS,mid_centered
d23_to_d4,ROBOT_IRONING__group_mid_rank,0.007505683694442936,ROBOT_IRONING,group_mid_rank
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS__group_mid_rank,0.007426731789305159,GALAXY_SOUNDS_PLANETARY_RINGS,group_mid_rank
d23_to_d4,UV_VISOR_YELLOW__mid_centered,0.007417129318990884,UV_VISOR_YELLOW,mid_centered
d23_to_d4,SLEEP_POD_COTTON__mid_centered,0.007399464749949373,SLEEP_POD_COTTON,mid_centered
d23_to_d4,MICROCHIP_OVAL__mid_centered,0.007279843299145006,MICROCHIP_OVAL,mid_centered
d23_to_d4,GALAXY_SOUNDS_DARK_MATTER__group_residual_z,0.007265579992329012,GALAXY_SOUNDS_DARK_MATTER,group_residual_z
d23_to_d4,PANEL_1X2__group_residual_z,0.006999997562504836,PANEL_1X2,group_residual_z
d23_to_d4,TRANSLATOR_VOID_BLUE__group_residual_z,0.006926540639262298,TRANSLATOR_VOID_BLUE,group_residual_z
d23_to_d4,ROBOT_LAUNDRY__group_mid_rank,0.006915888993128217,ROBOT_LAUNDRY,group_mid_rank
d23_to_d4,ROBOT_MOPPING__mid_centered,0.0069059802720048274,ROBOT_MOPPING,mid_centered
d23_to_d4,SLEEP_POD_POLYESTER__group_residual_z,0.006900849702827977,SLEEP_POD_POLYESTER,group_residual_z
d23_to_d4,OXYGEN_SHAKE_MINT__group_mid_rank,0.006895375392843097,OXYGEN_SHAKE_MINT,group_mid_rank
d23_to_d4,TRANSLATOR_SPACE_GRAY__group_mid_rank,0.006873024768173852,TRANSLATOR_SPACE_GRAY,group_mid_rank
d23_to_d4,PEBBLES_S__mid_centered,0.006859103631540556,PEBBLES_S,mid_centered
d23_to_d4,TRANSLATOR_ASTRO_BLACK__mid_centered,0.006856569648950504,TRANSLATOR_ASTRO_BLACK,mid_centered
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__mid_centered,0.006831688694437434,OXYGEN_SHAKE_EVENING_BREATH,mid_centered
d23_to_d4,PANEL_2X2__group_mid_rank,0.006788627920921509,PANEL_2X2,group_mid_rank
d23_to_d4,SLEEP_POD_NYLON__group_residual_z,0.006760156593562661,SLEEP_POD_NYLON,group_residual_z
d23_to_d4,MICROCHIP_CIRCLE__group_mid_rank,0.0067526862011935505,MICROCHIP_CIRCLE,group_mid_rank
d23_to_d4,ROBOT_MOPPING__group_mid_rank,0.006700430456200992,ROBOT_MOPPING,group_mid_rank
d23_to_d4,PEBBLES_XS__mid_centered,0.006479184802533402,PEBBLES_XS,mid_centered
d23_to_d4,SLEEP_POD_LAMB_WOOL__mid_centered,0.00635290187846278,SLEEP_POD_LAMB_WOOL,mid_centered
d23_to_d4,MICROCHIP_SQUARE__group_residual_z,0.0062985229215171456,MICROCHIP_SQUARE,group_residual_z
d23_to_d4,TRANSLATOR_ECLIPSE_CHARCOAL__group_mid_rank,0.006131763373855752,TRANSLATOR_ECLIPSE_CHARCOAL,group_mid_rank
d23_to_d4,ROBOT_DISHES__group_residual_z,0.006021534508663452,ROBOT_DISHES,group_residual_z
d23_to_d4,PEBBLES_S__group_residual_z,0.005754291312676681,PEBBLES_S,group_residual_z
d23_to_d4,PEBBLES_M__mid_centered,0.005538802992053909,PEBBLES_M,mid_centered
d23_to_d4,MICROCHIP_CIRCLE__group_residual_z,0.005511364479023877,MICROCHIP_CIRCLE,group_residual_z
d23_to_d4,OXYGEN_SHAKE_CHOCOLATE__group_residual_z,0.005505405667516394,OXYGEN_SHAKE_CHOCOLATE,group_residual_z
d23_to_d4,OXYGEN_SHAKE_CHOCOLATE__mid_centered,0.005452775281174054,OXYGEN_SHAKE_CHOCOLATE,mid_centered
d23_to_d4,MICROCHIP_OVAL__group_mid_rank,0.00542538574564926,MICROCHIP_OVAL,group_mid_rank
d23_to_d4,SNACKPACK_CHOCOLATE__group_residual_z,0.005410983911614987,SNACKPACK_CHOCOLATE,group_residual_z
d23_to_d4,SNACKPACK_CHOCOLATE__mid_centered,0.005298295658021362,SNACKPACK_CHOCOLATE,mid_centered
d23_to_d4,SNACKPACK_CHOCOLATE__group_mid_rank,0.005246231203414011,SNACKPACK_CHOCOLATE,group_mid_rank
d23_to_d4,TRANSLATOR_GRAPHITE_MIST__group_mid_rank,0.0052433172440424,TRANSLATOR_GRAPHITE_MIST,group_mid_rank
d23_to_d4,SNACKPACK_VANILLA__mid_centered,0.005068765784236497,SNACKPACK_VANILLA,mid_centered
d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH__group_residual_z,0.005007459608746358,OXYGEN_SHAKE_MORNING_BREATH,group_residual_z
d23_to_d4,SNACKPACK_PISTACHIO__group_residual_z,0.004979303064123716,SNACKPACK_PISTACHIO,group_residual_z
d23_to_d4,TRANSLATOR_GRAPHITE_MIST__mid_centered,0.00497187381350149,TRANSLATOR_GRAPHITE_MIST,mid_centered
d23_to_d4,ROBOT_LAUNDRY__mid_centered,0.004948585063530422,ROBOT_LAUNDRY,mid_centered
d23_to_d4,UV_VISOR_ORANGE__mid_centered,0.00490984202235008,UV_VISOR_ORANGE,mid_centered
d23_to_d4,TRANSLATOR_GRAPHITE_MIST__group_residual_z,0.004909126688878881,TRANSLATOR_GRAPHITE_MIST,group_residual_z
d23_to_d4,OXYGEN_SHAKE_GARLIC__group_mid_rank,0.004879293224083213,OXYGEN_SHAKE_GARLIC,group_mid_rank
d23_to_d4,TRANSLATOR_ECLIPSE_CHARCOAL__group_residual_z,0.004869562772482605,TRANSLATOR_ECLIPSE_CHARCOAL,group_residual_z
d23_to_d4,PEBBLES_L__group_mid_rank,0.004869187832474488,PEBBLES_L,group_mid_rank
d23_to_d4,MICROCHIP_RECTANGLE__group_residual_z,0.004845604417207627,MICROCHIP_RECTANGLE,group_residual_z
d23_to_d4,PANEL_1X2__group_mid_rank,0.0047574749157997245,PANEL_1X2,group_mid_rank
d23_to_d4,UV_VISOR_RED__group_mid_rank,0.0047302830770486306,UV_VISOR_RED,group_mid_rank
d23_to_d4,SNACKPACK_RASPBERRY__group_residual_z,0.004723775004943813,SNACKPACK_RASPBERRY,group_residual_z
d23_to_d4,ROBOT_VACUUMING__group_residual_z,0.004702215174346283,ROBOT_VACUUMING,group_residual_z
d23_to_d4,PEBBLES_XL__group_mid_rank,0.004634610613809615,PEBBLES_XL,group_mid_rank
d23_to_d4,PEBBLES_M__group_residual_z,0.004633544257104487,PEBBLES_M,group_residual_z
d23_to_d4,ROBOT_IRONING__group_residual_z,0.004573483214675248,ROBOT_IRONING,group_residual_z
d23_to_d4,UV_VISOR_AMBER__mid_centered,0.004552507133433505,UV_VISOR_AMBER,mid_centered
d23_to_d4,MICROCHIP_CIRCLE__mid_centered,0.004546511787298408,MICROCHIP_CIRCLE,mid_centered
d23_to_d4,MICROCHIP_TRIANGLE__mid_centered,0.00448749259047374,MICROCHIP_TRIANGLE,mid_centered
d23_to_d4,SLEEP_POD_POLYESTER__group_mid_rank,0.0044266666240129465,SLEEP_POD_POLYESTER,group_mid_rank
d23_to_d4,PANEL_4X4__mid_centered,0.00440554050142694,PANEL_4X4,mid_centered
d23_to_d4,PEBBLES_M__group_mid_rank,0.004288722323901717,PEBBLES_M,group_mid_rank
d23_to_d4,SLEEP_POD_LAMB_WOOL__group_mid_rank,0.004249884172293964,SLEEP_POD_LAMB_WOOL,group_mid_rank
d23_to_d4,SLEEP_POD_POLYESTER__mid_centered,0.004217377035040364,SLEEP_POD_POLYESTER,mid_centered
d23_to_d4,MICROCHIP_TRIANGLE__group_residual_z,0.004154384373561775,MICROCHIP_TRIANGLE,group_residual_z
d23_to_d4,SNACKPACK_RASPBERRY__group_mid_rank,0.003926676849855769,SNACKPACK_RASPBERRY,group_mid_rank
d23_to_d4,UV_VISOR_AMBER__group_residual_z,0.003918403555893806,UV_VISOR_AMBER,group_residual_z
d23_to_d4,SLEEP_POD_SUEDE__group_mid_rank,0.003759446290501413,SLEEP_POD_SUEDE,group_mid_rank
d23_to_d4,SNACKPACK_PISTACHIO__mid_centered,0.003736872729618449,SNACKPACK_PISTACHIO,mid_centered
d23_to_d4,PANEL_4X4__group_mid_rank,0.0036533218698430437,PANEL_4X4,group_mid_rank
d23_to_d4,TRANSLATOR_ASTRO_BLACK__group_mid_rank,0.003495862673129677,TRANSLATOR_ASTRO_BLACK,group_mid_rank
d23_to_d4,PANEL_2X4__group_residual_z,0.0034564819031536144,PANEL_2X4,group_residual_z
d23_to_d4,PANEL_1X4__group_mid_rank,0.003436032501809635,PANEL_1X4,group_mid_rank
d23_to_d4,SNACKPACK_STRAWBERRY__group_residual_z,0.003410926956145109,SNACKPACK_STRAWBERRY,group_residual_z
d23_to_d4,OXYGEN_SHAKE_CHOCOLATE__group_mid_rank,0.003373967200952503,OXYGEN_SHAKE_CHOCOLATE,group_mid_rank
d23_to_d4,SNACKPACK_STRAWBERRY__mid_centered,0.003243159066569724,SNACKPACK_STRAWBERRY,mid_centered
d23_to_d4,MICROCHIP_RECTANGLE__group_mid_rank,0.003231206395255365,MICROCHIP_RECTANGLE,group_mid_rank
d23_to_d4,UV_VISOR_MAGENTA__group_mid_rank,0.0031615504143730506,UV_VISOR_MAGENTA,group_mid_rank
d23_to_d4,GALAXY_SOUNDS_DARK_MATTER__mid_centered,0.0030220679142373224,GALAXY_SOUNDS_DARK_MATTER,mid_centered
d23_to_d4,ROBOT_IRONING__spread,0.0027933144166767754,ROBOT_IRONING,spread
d23_to_d4,SNACKPACK_VANILLA__group_mid_rank,0.002766130892040911,SNACKPACK_VANILLA,group_mid_rank
d23_to_d4,OXYGEN_SHAKE_MINT__group_residual_z,0.0027081067662077705,OXYGEN_SHAKE_MINT,group_residual_z
d23_to_d4,SNACKPACK_RASPBERRY__mid_centered,0.00256359087413162,SNACKPACK_RASPBERRY,mid_centered
d23_to_d4,ROBOT_DISHES__group_mid_rank,0.0023928529616129533,ROBOT_DISHES,group_mid_rank
d23_to_d4,OXYGEN_SHAKE_MINT__mid_centered,0.00213598364084486,OXYGEN_SHAKE_MINT,mid_centered
d23_to_d4,SNACKPACK_PISTACHIO__group_mid_rank,0.0021068752876472574,SNACKPACK_PISTACHIO,group_mid_rank
d23_to_d4,MICROCHIP_OVAL__group_residual_z,0.0020086802534561355,MICROCHIP_OVAL,group_residual_z
d23_to_d4,PEBBLES_S__group_mid_rank,0.0018870922455955059,PEBBLES_S,group_mid_rank
d23_to_d4,UV_VISOR_YELLOW__group_mid_rank,0.0017697532820246766,UV_VISOR_YELLOW,group_mid_rank
d23_to_d4,PEBBLES_XL__spread,0.0015025345715170434,PEBBLES_XL,spread
d23_to_d4,UV_VISOR_AMBER__spread,0.0012395785682144157,UV_VISOR_AMBER,spread
d23_to_d4,GALAXY_SOUNDS_DARK_MATTER__group_mid_rank,0.0011804598444106883,GALAXY_SOUNDS_DARK_MATTER,group_mid_rank
d23_to_d4,MICROCHIP_TRIANGLE__group_mid_rank,0.0010544823414427645,MICROCHIP_TRIANGLE,group_mid_rank
d23_to_d4,SNACKPACK_STRAWBERRY__group_mid_rank,0.0008375745766020525,SNACKPACK_STRAWBERRY,group_mid_rank
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__group_mid_rank,0.0008041953991390242,OXYGEN_SHAKE_EVENING_BREATH,group_mid_rank
d23_to_d4,PEBBLES_XS__group_mid_rank,0.0007846016226757703,PEBBLES_XS,group_mid_rank
d23_to_d4,TRANSLATOR_VOID_BLUE__group_mid_rank,0.0007586831835876065,TRANSLATOR_VOID_BLUE,group_mid_rank
