split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,PEBBLES_L,PEBBLES,long,1000,0.21734345953886042,41,762.8536376953125,1.0,318.76806640625,70.05535125732422,762.8536376953125
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,long,1000,0.5871410557187853,41,751.6097412109375,0.9512195121951219,335.9190979003906,266.41156005859375,714.9458513957698
d2_to_d3,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,1000,0.39174932282888664,41,644.1951293945312,1.0,-18.655372619628906,170.05535888671875,644.1951293945312
d2_to_d3,PEBBLES_M,PEBBLES,long,1000,0.4253191152718346,41,541.3902587890625,1.0,68.73799133300781,215.6726837158203,541.3902587890625
d2_to_d3,PANEL_2X4,PANEL,long,1000,0.48891348387552536,41,598.3658447265625,0.9024390243902439,252.12887573242188,47.30565643310547,539.9886891434833
d2_to_d3,PANEL_1X4,PANEL,short,1000,0.4211662014499673,41,547.5609741210938,0.9024390243902439,-89.1851806640625,186.1239471435547,494.14039128001144
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,long,1000,0.49083964921551837,41,562.5853881835938,0.8780487804878049,130.85110473632812,80.8543930053711,493.9774140148628
d2_to_d3,PEBBLES_XS,PEBBLES,long,1000,0.4119553567750061,41,501.43902587890625,0.9512195121951219,128.18377685546875,-164.2081756591797,476.9785855921303
d2_to_d3,PEBBLES_XL,PEBBLES,short,1000,0.2750255577607896,41,522.0731811523438,0.8780487804878049,-203.19076538085938,109.19734954833984,458.4057200362043
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,long,500,0.49142861420245404,41,443.243896484375,1.0,175.35110473632812,148.30084228515625,443.243896484375
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,short,1000,0.5826576012337545,41,492.1463317871094,0.8780487804878049,124.24909210205078,-288.9181823730469,432.128486447218
d2_to_d3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,short,1000,0.45826650530140334,41,439.68292236328125,0.975609756097561,146.70831298828125,-139.61611938476562,428.9589486471036
d2_to_d3,ROBOT_MOPPING,ROBOT,long,1000,0.14686453844863903,41,425.8780517578125,0.9024390243902439,16.013601303100586,205.36341857910156,384.3289735375381
d2_to_d3,PANEL_1X4,PANEL,short,500,0.32999410781769334,41,342.4146423339844,0.975609756097561,-56.52912902832031,105.62815856933594,334.0630656916921
d2_to_d3,UV_VISOR_AMBER,UV,short,1000,0.4858340326488127,41,338.8292541503906,0.926829268292683,217.48602294921875,63.741275787353516,314.03686970036205
d2_to_d3,PEBBLES_XS,PEBBLES,short,1000,0.40717551141398584,41,338.51220703125,0.926829268292683,412.97833251953125,147.7484893798828,313.7430211509147
d2_to_d3,MICROCHIP_RECTANGLE,MICROCHIP,short,1000,0.4449379785550621,41,345.0243835449219,0.8780487804878049,134.07554626464844,119.94103240966797,302.9482392101753
d2_to_d3,SNACKPACK_CHOCOLATE,SNACKPACK,short,1000,0.5283754702697154,41,296.0,1.0,74.20535278320312,10.004813194274902,296.0
