split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score,top5_mean_stable_proxy
d3_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,1000,0.059374834412555845,423.6222222222222,1.0,450,-3.997333333333333,423.6222222222222,423.6222222222222
d23_to_d4,UV_VISOR_MAGENTA,UV,long,1000,0.2700531772637709,342.76,0.9933333333333333,450,40.111333333333334,340.4749333333333,340.4749333333333
d2_to_d3,ROBOT_MOPPING,ROBOT,long,1000,0.11785503777254193,393.92,0.7511111111111111,450,229.06544444444444,295.8776888888889,295.8776888888889
d3_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,1000,0.3796452258803589,284.26444444444445,1.0,450,3.4233333333333333,284.26444444444445,284.26444444444445
d2_to_d3,ROBOT_IRONING,ROBOT,short,1000,0.2194443851696979,277.34222222222223,0.9711111111111111,450,188.79888888888888,269.3301135802469,269.3301135802469
d3_to_d4,UV_VISOR_MAGENTA,UV,long,1000,-0.21956483833166807,296.69555555555553,0.8822222222222222,450,40.111333333333334,261.751412345679,261.751412345679
d3_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,1000,-0.12205094858547441,235.9177777777778,0.9755555555555555,450,161.06366666666668,230.1508987654321,230.1508987654321
d23_to_d4,SLEEP_POD_NYLON,SLEEP,short,1000,0.13392410971731783,247.91555555555556,0.9044444444444445,450,-111.25833333333334,224.22584691358026,224.22584691358026
d23_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,1000,-0.052604355965621484,263.8888888888889,0.8088888888888889,450,161.06366666666668,213.4567901234568,213.4567901234568
d3_to_d4,PANEL_1X4,PANEL,long,1000,0.11821251811424045,233.44,0.8111111111111111,450,27.099,189.34577777777778,189.34577777777778
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,1000,0.07082954125741782,188.79111111111112,0.9888888888888889,450,-35.398555555555554,186.69343209876544,186.69343209876544
d2_to_d3,PEBBLES_XS,PEBBLES,short,500,-0.0662051734601765,208.22,0.8333333333333334,450,83.36533333333334,173.51666666666668,173.51666666666668
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,short,1000,0.36506735792044376,205.34,0.8066666666666666,450,-59.26,165.64093333333332,165.64093333333332
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,1000,-0.052722699231411325,248.79111111111112,0.6533333333333333,450,107.42211111111111,162.54352592592593,162.54352592592593
d2_to_d3,UV_VISOR_MAGENTA,UV,long,1000,0.1273949232037809,192.48666666666668,0.7866666666666666,450,-6.212,151.42284444444445,151.42284444444445
d23_to_d4,SLEEP_POD_COTTON,SLEEP,short,500,0.20703041651813403,166.4488888888889,0.8666666666666667,450,28.321666666666665,144.25570370370372,144.25570370370372
d3_to_d4,MICROCHIP_OVAL,MICROCHIP,short,500,-0.0012107601628757023,174.48222222222222,0.8244444444444444,450,95.37811111111111,143.8508987654321,143.8508987654321
