split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score
gru_d23_to_d4,MICROCHIP_SQUARE,MICROCHIP,short,1000,0.1762908895921848,663.97998046875,0.9020044543429844,449,185.37745666503906,598.9128999773802
gru_d23_to_d4,UV_VISOR_MAGENTA,UV,long,1000,0.311519599690527,299.5389709472656,0.9888641425389755,449,40.89533615112305,296.2033476627749
gru_d23_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,1000,0.2905111109207786,274.6258239746094,0.9821826280623608,449,161.46876525878906,269.7327135251731
gru_d23_to_d4,SLEEP_POD_NYLON,SLEEP,long,500,0.2719483941812028,222.49888610839844,0.8685968819599109,449,46.96113967895508,193.2618387133082
gru_d23_to_d4,MICROCHIP_OVAL,MICROCHIP,short,500,0.11180320520760081,176.21157836914062,0.821826280623608,449,95.79456329345703,144.81530605392626
gru_d23_to_d4,MICROCHIP_SQUARE,MICROCHIP,long,500,0.21305988372682064,158.0779571533203,0.8374164810690423,449,-104.99988555908203,132.37708661391633
gru_d23_to_d4,SLEEP_POD_COTTON,SLEEP,short,500,0.21072740261475417,141.0089111328125,0.7750556792873051,449,28.865049362182617,109.28975740360524
gru_d23_to_d4,PANEL_2X4,PANEL,short,500,0.28507409843407305,136.8329620361328,0.7260579064587973,449,-59.50139236450195,99.34865395051068
gru_d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,1000,-0.08044015412061119,147.1848602294922,0.6325167037861915,449,106.01447296142578,93.09688263958971
gru_d23_to_d4,SLEEP_POD_COTTON,SLEEP,long,200,0.32252794976819793,119.6837387084961,0.7104677060133631,449,-23.480792999267578,85.03143128732796
gru_d23_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,long,1000,0.14883997120078624,91.96881866455078,0.7572383073496659,449,-60.09297561645508,69.64231257449279
gru_d23_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,short,500,0.1734048552582407,93.27171325683594,0.6948775055679287,449,60.69057083129883,64.81241544795726
gru_d23_to_d4,SLEEP_POD_NYLON,SLEEP,short,1000,0.4186765027012392,95.81737518310547,0.6547884187082406,449,-111.13996124267578,62.74010758091984
gru_d23_to_d4,OXYGEN_SHAKE_GARLIC,OXYGEN,long,200,0.004652970670524035,80.0200424194336,0.6948775055679287,449,27.125822067260742,55.60412747185586
gru_d23_to_d4,SNACKPACK_STRAWBERRY,SNACKPACK,long,500,0.2139978009497183,88.86637115478516,0.5902004454342984,449,-8.979066848754883,52.448971839683885
gru_d23_to_d4,PEBBLES_S,PEBBLES,short,200,-0.008048211539553431,59.8819580078125,0.6570155902004454,449,20.314664840698242,39.343379982861215
gru_d23_to_d4,PEBBLES_XS,PEBBLES,short,500,-0.15439441517279676,63.345211029052734,0.6013363028953229,449,27.65928077697754,38.09177500633461
