case,mr_products,match_mode,day2,day3,day4,total,delta_vs_v6,delta_vs_all4_default
all4,"PEBBLES_XL,PEBBLES_XS,MICROCHIP_TRIANGLE,ROBOT_LAUNDRY",default,408451,376792,410959,1196202,110076,0
drop_PEBBLES_XL,"PEBBLES_XS,MICROCHIP_TRIANGLE,ROBOT_LAUNDRY",default,430972,323278,378278,1132528,46402,-63674
drop_PEBBLES_XS,"PEBBLES_XL,MICROCHIP_TRIANGLE,ROBOT_LAUNDRY",default,398801,367302,398679,1164782,78656,-31420
drop_MICROCHIP_TRIANGLE,"PEBBLES_XL,PEBBLES_XS,ROBOT_LAUNDRY",default,396561,381596,410045,1188202,102076,-8000
drop_ROBOT_LAUNDRY,"PEBBLES_XL,PEBBLES_XS,MICROCHIP_TRIANGLE",default,400615,374538,414068,1189220,103094,-6982
all4_match_none,"PEBBLES_XL,PEBBLES_XS,MICROCHIP_TRIANGLE,ROBOT_LAUNDRY",none,203731,193086,273472,670289,-415837,-525913
all4_match_worse,"PEBBLES_XL,PEBBLES_XS,MICROCHIP_TRIANGLE,ROBOT_LAUNDRY",worse,203731,193086,273472,670289,-415837,-525913
