product,kind,window,threshold,horizon,day,pnl,trades,wins,win_pct,avg_round_trip_pnl,entry_z_abs
MICROCHIP_TRIANGLE,product_rolling,1000,1.0,500,4,20748.0,38,23,0.6052631578947368,17259.947368421053,1.013291620559632
MICROCHIP_TRIANGLE,product_rolling,1000,1.5,500,2,3208.0,20,9,0.45,-11610.0,1.9824879689260526
MICROCHIP_TRIANGLE,product_rolling,1000,1.5,500,3,-1782.0,19,11,0.5789473684210527,14356.736842105263,1.5032605208957959
MICROCHIP_TRIANGLE,product_rolling,1000,1.5,500,4,21161.0,26,17,0.6538461538461539,25422.23076923077,
PEBBLES_XL,product_rolling,500,3.0,100,2,6340.0,9,5,0.5555555555555556,13677.777777777777,
PEBBLES_XL,product_rolling,500,3.0,100,3,5150.0,10,5,0.5,-5729.0,
PEBBLES_XL,product_rolling,500,3.0,100,4,8030.0,12,4,0.3333333333333333,-48220.0,
PEBBLES_XL,group_equal,500,3.0,100,2,6340.0,9,5,0.5555555555555556,13677.777777777777,
PEBBLES_XL,group_equal,500,3.0,100,3,5150.0,10,5,0.5,-5729.0,
PEBBLES_XL,group_equal,500,3.0,100,4,8030.0,12,4,0.3333333333333333,-48220.0,
MICROCHIP_TRIANGLE,group_equal,1000,1.5,500,2,14586.0,24,10,0.4166666666666667,-18034.166666666668,2.1077683674660808
MICROCHIP_TRIANGLE,group_equal,1000,1.5,500,3,-9679.0,18,10,0.5555555555555556,9309.722222222223,1.5238294482361505
MICROCHIP_TRIANGLE,group_equal,1000,1.5,500,4,19358.0,26,16,0.6153846153846154,18704.76923076923,
MICROCHIP_OVAL,group_vol,1000,2.5,500,2,8027.0,12,6,0.5,-485.75,
MICROCHIP_OVAL,group_vol,1000,2.5,500,3,-143.0,10,7,0.7,31976.1,
MICROCHIP_OVAL,group_vol,1000,2.5,500,4,-330.0,8,8,1.0,60086.75,
PEBBLES_XL,product_rolling,500,2.5,200,2,16900.0,18,9,0.5,-2233.8888888888887,
PEBBLES_XL,product_rolling,500,2.5,200,3,32384.0,19,11,0.5789473684210527,18465.78947368421,
PEBBLES_XL,product_rolling,500,2.5,200,4,12205.0,21,8,0.38095238095238093,-38108.09523809524,
PEBBLES_XL,group_equal,500,2.5,200,2,16900.0,18,9,0.5,-2233.8888888888887,
PEBBLES_XL,group_equal,500,2.5,200,3,32384.0,19,11,0.5789473684210527,18465.78947368421,
PEBBLES_XL,group_equal,500,2.5,200,4,12205.0,21,8,0.38095238095238093,-38108.09523809524,
PEBBLES_XL,group_vol,500,2.5,200,2,17570.0,18,9,0.5,-2166.1111111111113,
PEBBLES_XL,group_vol,500,2.5,200,3,32384.0,19,11,0.5789473684210527,18465.78947368421,
PEBBLES_XL,group_vol,500,2.5,200,4,12205.0,21,8,0.38095238095238093,-38108.09523809524,
PEBBLES_XL,product_rolling,500,3.0,500,2,6860.0,9,5,0.5555555555555556,13735.555555555555,
PEBBLES_XL,product_rolling,500,3.0,500,3,21570.0,10,5,0.5,-4087.0,
PEBBLES_XL,product_rolling,500,3.0,500,4,6410.0,11,4,0.36363636363636365,-39175.454545454544,
PEBBLES_XL,group_equal,500,3.0,500,2,6860.0,9,5,0.5555555555555556,13735.555555555555,
PEBBLES_XL,group_equal,500,3.0,500,3,21570.0,10,5,0.5,-4087.0,
PEBBLES_XL,group_equal,500,3.0,500,4,6410.0,11,4,0.36363636363636365,-39175.454545454544,
MICROCHIP_TRIANGLE,group_equal,1000,1.0,500,2,17084.0,36,16,0.4444444444444444,-12065.25,2.156106802762355
MICROCHIP_TRIANGLE,group_equal,1000,1.0,500,3,-12443.0,22,12,0.5454545454545454,7283.681818181818,1.40426386356266
MICROCHIP_TRIANGLE,group_equal,1000,1.0,500,4,19290.0,40,27,0.675,29193.8,1.0525174465042368
MICROCHIP_TRIANGLE,group_vol,1000,1.0,500,2,22418.0,38,15,0.39473684210526316,-22402.684210526317,2.174975794920272
MICROCHIP_TRIANGLE,group_vol,1000,1.0,500,3,-6604.0,25,13,0.52,2334.4,1.2482852372087239
MICROCHIP_TRIANGLE,group_vol,1000,1.0,500,4,21734.0,38,27,0.7105263157894737,35466.84210526316,1.0666555226145211
PEBBLES_XS,group_equal,1000,2.5,500,2,13360.0,12,9,0.75,44570.833333333336,
PEBBLES_XS,group_equal,1000,2.5,500,3,-500.0,11,6,0.5454545454545454,5700.909090909091,2.5138731576890074
PEBBLES_XS,group_equal,1000,2.5,500,4,8410.0,11,7,0.6363636363636364,15424.545454545454,
PEBBLES_XS,product_rolling,1000,2.5,500,2,13378.0,12,9,0.75,44570.833333333336,
PEBBLES_XS,product_rolling,1000,2.5,500,3,-550.0,11,6,0.5454545454545454,5705.454545454545,2.513641244860248
