variant,group,target,test_day,threshold,horizon,exit_rule,sigma,top_pnl,top_trades,top_wins,top_avg_hold,top_max_hold,top_signal_count,top_buy_signals,top_sell_signals,top_entry_top_short,top_exit_top_short,top_unfilled,depth_pnl,depth_trades,depth_wins,depth_avg_hold,depth_max_hold,depth_signal_count,depth_buy_signals,depth_sell_signals,depth_entry_top_short,depth_exit_top_short,depth_unfilled
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,500,zero_cross,259.9574365364913,-1680.0,8,4,500.0,500,1977,1269,708,1,1,0,-1763.9999999999964,8,4,500.0,500,1977,1269,708,1,1,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,fixed_horizon,259.9574365364913,1630.0,27,13,50.0,50,1035,817,218,0,0,0,1630.0,27,13,50.0,50,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,zero_cross,259.9574365364913,1630.0,27,13,50.0,50,1035,817,218,0,0,0,1630.0,27,13,50.0,50,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,fixed_horizon,259.9574365364913,1650.0,15,11,100.0,100,1035,817,218,0,0,0,1650.0,15,11,100.0,100,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,zero_cross,259.9574365364913,1650.0,15,11,100.0,100,1035,817,218,0,0,0,1650.0,15,11,100.0,100,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,fixed_horizon,259.9574365364913,960.0,9,4,200.0,200,1035,817,218,0,0,0,960.0,9,4,200.0,200,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,zero_cross,259.9574365364913,960.0,9,4,200.0,200,1035,817,218,0,0,0,960.0,9,4,200.0,200,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,fixed_horizon,259.9574365364913,3370.0,5,4,500.0,500,1035,817,218,0,0,0,3370.0,5,4,500.0,500,1035,817,218,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,zero_cross,259.9574365364913,3370.0,5,4,500.0,500,1035,817,218,0,0,0,3370.0,5,4,500.0,500,1035,817,218,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,fixed_horizon,439.7868694077849,-6350.0,79,41,50.0,50,3533,0,3533,1,1,0,-6431.000000000004,79,40,50.0,50,3533,0,3533,1,1,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,zero_cross,439.7868694077849,-6350.0,79,41,50.0,50,3533,0,3533,1,1,0,-6431.000000000004,79,40,50.0,50,3533,0,3533,1,1,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,fixed_horizon,439.7868694077849,380.0,43,23,100.0,100,3533,0,3533,1,0,0,331.00000000000364,43,23,100.0,100,3533,0,3533,1,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,zero_cross,439.7868694077849,380.0,43,23,100.0,100,3533,0,3533,1,0,0,331.00000000000364,43,23,100.0,100,3533,0,3533,1,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,fixed_horizon,439.7868694077849,1950.0,22,12,200.0,200,3533,0,3533,1,0,0,1907.9999999999927,22,12,200.0,200,3533,0,3533,1,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,zero_cross,439.7868694077849,1950.0,22,12,200.0,200,3533,0,3533,1,0,0,1907.9999999999927,22,12,200.0,200,3533,0,3533,1,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,fixed_horizon,439.7868694077849,1220.0,11,7,500.0,500,3533,0,3533,0,0,0,1220.0,11,7,500.0,500,3533,0,3533,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,zero_cross,439.7868694077849,1220.0,11,7,500.0,500,3533,0,3533,0,0,0,1220.0,11,7,500.0,500,3533,0,3533,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,fixed_horizon,439.7868694077849,2210.0,10,7,50.0,50,241,0,241,0,0,0,2210.0,10,7,50.0,50,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,zero_cross,439.7868694077849,2210.0,10,7,50.0,50,241,0,241,0,0,0,2210.0,10,7,50.0,50,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,fixed_horizon,439.7868694077849,3220.0,7,5,100.0,100,241,0,241,0,0,0,3220.0,7,5,100.0,100,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,zero_cross,439.7868694077849,3220.0,7,5,100.0,100,241,0,241,0,0,0,3220.0,7,5,100.0,100,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,fixed_horizon,439.7868694077849,2420.0,5,4,200.0,200,241,0,241,0,0,0,2420.0,5,4,200.0,200,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,zero_cross,439.7868694077849,2420.0,5,4,200.0,200,241,0,241,0,0,0,2420.0,5,4,200.0,200,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,fixed_horizon,439.7868694077849,2710.0,3,3,500.0,500,241,0,241,0,0,0,2710.0,3,3,500.0,500,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,zero_cross,439.7868694077849,2710.0,3,3,500.0,500,241,0,241,0,0,0,2710.0,3,3,500.0,500,241,0,241,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,100,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,100,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,200,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,200,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,500,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,500,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,fixed_horizon,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
demean_group_mean_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,zero_cross,439.7868694077849,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
