group,product,threshold_abs_z,signal_n,signal_pct,buy_signal_share,passive_fill_next5_pct,mid_edge_h1,active_edge_h1,passive_edge_h1,active_edge_h1_positive_days,active_edge_h1_min_day,mid_edge_h5,active_edge_h5,passive_edge_h5,active_edge_h5_positive_days,active_edge_h5_min_day,mid_edge_h20,active_edge_h20,passive_edge_h20,active_edge_h20_positive_days,active_edge_h20_min_day
MICROCHIP,MICROCHIP_RECTANGLE,3.0,2,6.666666666666667e-05,0.0,0.0,18.0,14.0,22.0,1,14.0,30.25,26.25,34.25,1,26.25,63.25,59.25,67.25,1,59.25
ROBOT,ROBOT_IRONING,2.5,4,0.00013333333333333334,1.0,0.0,7.5,4.5,10.5,1,4.5,22.5,19.5,25.5,1,19.5,54.625,51.625,57.625,1,51.625
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,3.0,5,0.00016666666666666666,0.0,0.2,8.8,4.3,13.3,1,4.3,29.0,24.5,33.5,1,24.5,73.9,69.4,78.4,1,69.4
ROBOT,ROBOT_MOPPING,2.5,9,0.0003,0.3333333333333333,0.0,7.166666666666667,3.0555555555555554,11.277777777777779,1,-12.833333333333334,15.833333333333334,11.722222222222221,19.944444444444443,1,-12.166666666666666,48.333333333333336,44.22222222222222,52.44444444444444,2,27.333333333333332
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,1,3.3333333333333335e-05,0.0,0.0,6.0,0.5,11.5,1,0.5,31.5,26.0,37.0,1,26.0,81.0,75.5,86.5,1,75.5
PEBBLES,PEBBLES_XL,1.0,853,0.028433333333333335,0.5240328253223916,0.041031652989449004,4.615474794841735,0.40738569753810083,8.82356389214537,2,-0.4895833333333333,7.179953106682298,2.9718640093786637,11.388042203985933,3,0.2903225806451613,6.382180539273153,2.1740914419695194,10.590269636576787,2,-8.831597222222221
PEBBLES,PEBBLES_XL,1.5,853,0.028433333333333335,0.5240328253223916,0.041031652989449004,4.615474794841735,0.40738569753810083,8.82356389214537,2,-0.4895833333333333,7.179953106682298,2.9718640093786637,11.388042203985933,3,0.2903225806451613,6.382180539273153,2.1740914419695194,10.590269636576787,2,-8.831597222222221
PEBBLES,PEBBLES_XL,2.0,853,0.028433333333333335,0.5240328253223916,0.041031652989449004,4.615474794841735,0.40738569753810083,8.82356389214537,2,-0.4895833333333333,7.179953106682298,2.9718640093786637,11.388042203985933,3,0.2903225806451613,6.382180539273153,2.1740914419695194,10.590269636576787,2,-8.831597222222221
PEBBLES,PEBBLES_XL,2.5,853,0.028433333333333335,0.5240328253223916,0.041031652989449004,4.615474794841735,0.40738569753810083,8.82356389214537,2,-0.4895833333333333,7.179953106682298,2.9718640093786637,11.388042203985933,3,0.2903225806451613,6.382180539273153,2.1740914419695194,10.590269636576787,2,-8.831597222222221
PEBBLES,PEBBLES_XL,3.0,853,0.028433333333333335,0.5240328253223916,0.041031652989449004,4.615474794841735,0.40738569753810083,8.82356389214537,2,-0.4895833333333333,7.179953106682298,2.9718640093786637,11.388042203985933,3,0.2903225806451613,6.382180539273153,2.1740914419695194,10.590269636576787,2,-8.831597222222221
PEBBLES,PEBBLES_S,1.0,853,0.028433333333333335,0.5240328253223916,0.05509964830011723,3.2555685814771396,0.34056271981242675,6.170574443141852,3,0.11631944444444445,3.2549824150058617,0.3399765533411489,6.1699882766705745,2,-0.3020833333333333,2.305978898007034,-0.6090269636576788,5.2209847596717465,2,-5.962365591397849
PEBBLES,PEBBLES_S,1.5,853,0.028433333333333335,0.5240328253223916,0.05509964830011723,3.2555685814771396,0.34056271981242675,6.170574443141852,3,0.11631944444444445,3.2549824150058617,0.3399765533411489,6.1699882766705745,2,-0.3020833333333333,2.305978898007034,-0.6090269636576788,5.2209847596717465,2,-5.962365591397849
PEBBLES,PEBBLES_S,2.0,853,0.028433333333333335,0.5240328253223916,0.05509964830011723,3.2555685814771396,0.34056271981242675,6.170574443141852,3,0.11631944444444445,3.2549824150058617,0.3399765533411489,6.1699882766705745,2,-0.3020833333333333,2.305978898007034,-0.6090269636576788,5.2209847596717465,2,-5.962365591397849
PEBBLES,PEBBLES_S,2.5,853,0.028433333333333335,0.5240328253223916,0.05509964830011723,3.2555685814771396,0.34056271981242675,6.170574443141852,3,0.11631944444444445,3.2549824150058617,0.3399765533411489,6.1699882766705745,2,-0.3020833333333333,2.305978898007034,-0.6090269636576788,5.2209847596717465,2,-5.962365591397849
