group,target,test_day,threshold,horizon,exit_rule,pnl,trades,wins,avg_hold,max_hold,sigma_train
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,50,fixed_horizon,-7500.0,63,26,49.79365079365079,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,50,zero_cross,-7500.0,63,26,49.79365079365079,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,100,fixed_horizon,-4250.0,34,13,97.3529411764706,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,100,zero_cross,-4250.0,34,13,97.3529411764706,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,200,fixed_horizon,-2600.0,18,10,190.11111111111111,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,200,zero_cross,-2600.0,18,10,190.11111111111111,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,500,fixed_horizon,-60.0,7,4,490.0,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,500,zero_cross,-60.0,7,4,490.0,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,20,fixed_horizon,-14980.0,116,44,19.913793103448278,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,20,zero_cross,-14980.0,116,44,19.913793103448278,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,50,fixed_horizon,-6820.0,50,22,49.16,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,50,zero_cross,-6820.0,50,22,49.16,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,100,fixed_horizon,-3900.0,27,12,97.25925925925925,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,100,zero_cross,-3900.0,27,12,97.25925925925925,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,200,fixed_horizon,-630.0,14,5,198.85714285714286,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,200,zero_cross,-630.0,14,5,198.85714285714286,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,500,fixed_horizon,1040.0,6,4,481.8333333333333,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.0,500,zero_cross,1040.0,6,4,481.8333333333333,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,20,fixed_horizon,-8030.0,83,34,19.83132530120482,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,20,zero_cross,-8030.0,83,34,19.83132530120482,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,50,fixed_horizon,-4840.0,36,15,48.861111111111114,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,50,zero_cross,-4840.0,36,15,48.861111111111114,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,100,fixed_horizon,-1460.0,19,11,98.84210526315789,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,100,zero_cross,-1460.0,19,11,98.84210526315789,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,200,fixed_horizon,-2060.0,10,3,198.6,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,200,zero_cross,-2060.0,10,3,198.6,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,500,fixed_horizon,-1230.0,5,3,418.0,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,2.5,500,zero_cross,-1230.0,5,3,418.0,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,20,fixed_horizon,-3670.0,40,16,20.0,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,20,zero_cross,-3670.0,40,16,20.0,20,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,50,fixed_horizon,-570.0,18,10,50.0,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,50,zero_cross,-570.0,18,10,50.0,50,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,100,fixed_horizon,760.0,10,6,96.3,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,100,zero_cross,760.0,10,6,96.3,100,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,200,fixed_horizon,2460.0,6,4,177.16666666666666,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,200,zero_cross,2460.0,6,4,177.16666666666666,200,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,500,fixed_horizon,1370.0,3,2,469.6666666666667,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,3.0,500,zero_cross,1370.0,3,2,469.6666666666667,500,273.7737998589688
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,20,fixed_horizon,-60990.0,432,143,19.96759259259259,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,20,zero_cross,-60990.0,432,143,19.96759259259259,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,50,fixed_horizon,-26740.0,178,73,49.8876404494382,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,50,zero_cross,-26740.0,178,73,49.8876404494382,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,100,fixed_horizon,-13260.0,90,44,99.64444444444445,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,100,zero_cross,-13260.0,90,44,99.64444444444445,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,200,fixed_horizon,-8040.0,46,21,195.91304347826087,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,200,zero_cross,-8040.0,46,21,195.91304347826087,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,500,fixed_horizon,-4510.0,19,9,475.7368421052632,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,1.5,500,zero_cross,-4510.0,19,9,475.7368421052632,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,20,fixed_horizon,-57130.0,424,162,19.983490566037737,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,20,zero_cross,-57130.0,424,162,19.983490566037737,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,50,fixed_horizon,-25310.0,175,65,50.0,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,50,zero_cross,-25310.0,175,65,50.0,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,100,fixed_horizon,-15270.0,89,40,99.85393258426966,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,100,zero_cross,-15270.0,89,40,99.85393258426966,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,200,fixed_horizon,-9690.0,45,22,199.15555555555557,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,200,zero_cross,-9690.0,45,22,199.15555555555557,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,500,fixed_horizon,-4430.0,18,9,499.3888888888889,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.0,500,zero_cross,-4430.0,18,9,499.3888888888889,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,20,fixed_horizon,-53510.0,419,152,19.95942720763723,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,20,zero_cross,-53510.0,419,152,19.95942720763723,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,50,fixed_horizon,-23260.0,173,72,49.809248554913296,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,50,zero_cross,-23260.0,173,72,49.809248554913296,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,100,fixed_horizon,-14020.0,88,37,98.875,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,100,zero_cross,-14020.0,88,37,98.875,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,200,fixed_horizon,-7620.0,44,21,198.77272727272728,200,211.90074201922573
