case,group,method,target,anchor,window,entry_z,total,day2,day3,day4,worst_day,positive_days,trades
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_SOLAR_FLAMES__w2000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,2000,3.0,9645.0,5400.0,2070.0,2175.0,2070.0,3,7
tls__MICROCHIP_SQUARE__MICROCHIP_OVAL__w500__z2.5,MICROCHIP,tls,MICROCHIP_SQUARE,MICROCHIP_OVAL,500,2.5,14710.0,2060.0,9870.0,2780.0,2060.0,3,99
ols__SNACKPACK_STRAWBERRY__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,ols,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2000,3.0,7040.0,2940.0,2110.0,1990.0,1990.0,3,11
ols__ROBOT_DISHES__ROBOT_VACUUMING__w2000__z3.0,ROBOT,ols,ROBOT_DISHES,ROBOT_VACUUMING,2000,3.0,8070.0,3360.0,1950.0,2760.0,1950.0,3,8
tls__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w500__z3.0,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,500,3.0,9925.0,3900.0,1730.0,4295.0,1730.0,3,49
ols__SNACKPACK_RASPBERRY__SNACKPACK_VANILLA__w2000__z3.0,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2000,3.0,6650.0,2360.0,1730.0,2560.0,1730.0,3,10
ols__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1000,3.0,18380.0,5640.0,11020.0,1720.0,1720.0,3,28
tls__SLEEP_POD_LAMB_WOOL__SLEEP_POD_COTTON__w2000__z2.5,SLEEP_POD,tls,SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,2000,2.5,7925.0,2660.0,1715.0,3550.0,1715.0,3,25
ols__SLEEP_POD_POLYESTER__SLEEP_POD_LAMB_WOOL__w2000__z2.5,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,2000,2.5,15430.0,1650.0,4320.0,9460.0,1650.0,3,17
ols__MICROCHIP_CIRCLE__MICROCHIP_SQUARE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,1000,2.5,9400.0,3770.0,4000.0,1630.0,1630.0,3,39
tls__ROBOT_VACUUMING__ROBOT_LAUNDRY__w1000__z2.5,ROBOT,tls,ROBOT_VACUUMING,ROBOT_LAUNDRY,1000,2.5,14030.0,3880.0,1610.0,8540.0,1610.0,3,46
ols__SNACKPACK_RASPBERRY__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,2000,3.0,8110.0,3370.0,1590.0,3150.0,1590.0,3,10
tls__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w1000__z2.5,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1000,2.5,5480.0,1550.0,1830.0,2100.0,1550.0,3,59
tls__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS__w2000__z2.5,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,2000,2.5,13725.0,5290.0,6890.0,1545.0,1545.0,3,24
ols__SNACKPACK_RASPBERRY__SNACKPACK_CHOCOLATE__w2000__z2.5,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2000,2.5,8825.0,4735.0,2570.0,1520.0,1520.0,3,22
tls__MICROCHIP_SQUARE__MICROCHIP_TRIANGLE__w1000__z3.0,MICROCHIP,tls,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,1000,3.0,11030.0,1510.0,7070.0,2450.0,1510.0,3,27
tls__MICROCHIP_TRIANGLE__MICROCHIP_SQUARE__w2000__z2.5,MICROCHIP,tls,MICROCHIP_TRIANGLE,MICROCHIP_SQUARE,2000,2.5,14700.0,7990.0,5220.0,1490.0,1490.0,3,24
tls__SLEEP_POD_COTTON__SLEEP_POD_LAMB_WOOL__w2000__z3.0,SLEEP_POD,tls,SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,2000,3.0,4970.0,1860.0,1480.0,1630.0,1480.0,3,11
ols__SNACKPACK_STRAWBERRY__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,ols,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2000,2.5,8690.0,4620.0,1470.0,2600.0,1470.0,3,19
ols__ROBOT_LAUNDRY__ROBOT_DISHES__w1000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_DISHES,1000,2.5,13330.0,7660.0,4240.0,1430.0,1430.0,3,37
ols__ROBOT_LAUNDRY__ROBOT_MOPPING__w2000__z3.0,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_MOPPING,2000,3.0,8450.0,3370.0,1360.0,3720.0,1360.0,3,11
ols__SNACKPACK_RASPBERRY__SNACKPACK_VANILLA__w2000__z2.5,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2000,2.5,5735.0,2765.0,1310.0,1660.0,1310.0,3,19
ols__MICROCHIP_SQUARE__MICROCHIP_OVAL__w500__z3.0,MICROCHIP,ols,MICROCHIP_SQUARE,MICROCHIP_OVAL,500,3.0,7835.0,4185.0,2360.0,1290.0,1290.0,3,44
tls__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_BLACK_HOLES__w1000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,1000,3.0,7020.0,1290.0,2190.0,3540.0,1290.0,3,29
ols__MICROCHIP_OVAL__MICROCHIP_CIRCLE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_CIRCLE,1000,3.0,6550.0,1260.0,2210.0,3080.0,1260.0,3,21
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,6260.0,1250.0,3690.0,1320.0,1250.0,3,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,5810.0,1250.0,3060.0,1500.0,1250.0,3,26
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS__w2000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,2000,2.5,16750.0,9990.0,5540.0,1220.0,1220.0,3,20
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_BLACK_HOLES__w1000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,1000,3.0,9620.0,1220.0,2690.0,5710.0,1220.0,3,21
ols__ROBOT_LAUNDRY__ROBOT_MOPPING__w2000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_MOPPING,2000,2.5,18105.0,1210.0,4660.0,12235.0,1210.0,3,22
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_BLACK_HOLES__w500__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,500,3.0,9385.0,1350.0,6830.0,1205.0,1205.0,3,41
ols__ROBOT_LAUNDRY__ROBOT_IRONING__w2000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_IRONING,2000,2.5,8720.0,2690.0,1160.0,4870.0,1160.0,3,18
ols__ROBOT_LAUNDRY__ROBOT_IRONING__w1000__z3.0,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_IRONING,1000,3.0,11080.0,4800.0,5150.0,1130.0,1130.0,3,17
tls__SLEEP_POD_POLYESTER__SLEEP_POD_LAMB_WOOL__w1000__z2.5,SLEEP_POD,tls,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,1000,2.5,4810.0,2500.0,1095.0,1215.0,1095.0,3,46
tls__ROBOT_LAUNDRY__ROBOT_VACUUMING__w2000__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_VACUUMING,2000,3.0,7490.0,2100.0,1090.0,4300.0,1090.0,3,18
tls__MICROCHIP_CIRCLE__MICROCHIP_RECTANGLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,2000,3.0,6120.0,1900.0,3160.0,1060.0,1060.0,3,15
tls__ROBOT_LAUNDRY__ROBOT_VACUUMING__w2000__z2.5,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_VACUUMING,2000,2.5,8460.0,990.0,3370.0,4100.0,990.0,3,28
ols__ROBOT_LAUNDRY__ROBOT_VACUUMING__w1000__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_VACUUMING,1000,2.5,17485.0,10450.0,6055.0,980.0,980.0,3,37
tls__ROBOT_DISHES__ROBOT_MOPPING__w2000__z2.5,ROBOT,tls,ROBOT_DISHES,ROBOT_MOPPING,2000,2.5,7920.0,3470.0,970.0,3480.0,970.0,3,19
ols__ROBOT_MOPPING__ROBOT_DISHES__w500__z2.5,ROBOT,ols,ROBOT_MOPPING,ROBOT_DISHES,500,2.5,4585.0,1120.0,900.0,2565.0,900.0,3,79
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,6570.0,2030.0,3680.0,860.0,860.0,3,29
ols__SLEEP_POD_SUEDE__SLEEP_POD_POLYESTER__w500__z2.5,SLEEP_POD,ols,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,500,2.5,6900.0,850.0,1920.0,4130.0,850.0,3,81
tls__MICROCHIP_CIRCLE__MICROCHIP_TRIANGLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,2000,3.0,5440.0,840.0,1950.0,2650.0,840.0,3,8
ols__ROBOT_MOPPING__ROBOT_DISHES__w500__z3.0,ROBOT,ols,ROBOT_MOPPING,ROBOT_DISHES,500,3.0,4125.0,1100.0,800.0,2225.0,800.0,3,39
tls__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w1000__z3.0,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1000,3.0,7420.0,2400.0,4230.0,790.0,790.0,3,28
ols__ROBOT_LAUNDRY__ROBOT_VACUUMING__w500__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_VACUUMING,500,2.5,11155.0,7600.0,2795.0,760.0,760.0,3,64
ols__MICROCHIP_CIRCLE__MICROCHIP_SQUARE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,1000,3.0,6150.0,1870.0,3520.0,760.0,760.0,3,22
ols__MICROCHIP_TRIANGLE__MICROCHIP_CIRCLE__w500__z3.0,MICROCHIP,ols,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,500,3.0,8790.0,3080.0,4970.0,740.0,740.0,3,43
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,9580.0,3490.0,5380.0,710.0,710.0,3,22
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,2000,3.0,4230.0,860.0,2670.0,700.0,700.0,3,9
ols__MICROCHIP_RECTANGLE__MICROCHIP_OVAL__w1000__z2.5,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,1000,2.5,12465.0,4065.0,7720.0,680.0,680.0,3,46
ols__MICROCHIP_RECTANGLE__MICROCHIP_CIRCLE__w500__z3.0,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,500,3.0,19330.0,11180.0,650.0,7500.0,650.0,3,44
ols__MICROCHIP_RECTANGLE__MICROCHIP_OVAL__w2000__z2.5,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,2000,2.5,13570.0,10510.0,2420.0,640.0,640.0,3,23
tls__ROBOT_MOPPING__ROBOT_DISHES__w1000__z3.0,ROBOT,tls,ROBOT_MOPPING,ROBOT_DISHES,1000,3.0,6810.0,2670.0,620.0,3520.0,620.0,3,28
tls__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w1000__z3.0,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1000,3.0,3250.0,1320.0,620.0,1310.0,620.0,3,38
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,3070.0,1320.0,1150.0,600.0,600.0,3,9
ols__MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,2000,2.5,16850.0,12940.0,570.0,3340.0,570.0,3,21
tls__SNACKPACK_VANILLA__SNACKPACK_RASPBERRY__w2000__z2.5,SNACKPACK,tls,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2000,2.5,4460.0,3080.0,830.0,550.0,550.0,3,26
