case,group,method,target,anchor,window,entry_z,total,day2,day3,day4,worst_day,positive_days,trades
tls__MICROCHIP_TRIANGLE__MICROCHIP_OVAL__w1000__z3.0,MICROCHIP,tls,MICROCHIP_TRIANGLE,MICROCHIP_OVAL,1000,3.0,7990.0,290.0,-3270.0,10970.0,-3270.0,2,28
ols__SNACKPACK_VANILLA__SNACKPACK_CHOCOLATE__w2000__z3.0,SNACKPACK,ols,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,2000,3.0,3595.0,-3300.0,2735.0,4160.0,-3300.0,2,15
ols__MICROCHIP_CIRCLE__MICROCHIP_RECTANGLE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,2000,2.5,3810.0,2250.0,4870.0,-3310.0,-3310.0,2,20
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_DARK_MATTER__w2000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_DARK_MATTER,2000,3.0,195.0,2080.0,-3310.0,1425.0,-3310.0,2,10
ols__MICROCHIP_SQUARE__MICROCHIP_TRIANGLE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,2000,2.5,21905.0,-3315.0,20570.0,4650.0,-3315.0,2,23
tls__ROBOT_IRONING__ROBOT_DISHES__w2000__z3.0,ROBOT,tls,ROBOT_IRONING,ROBOT_DISHES,2000,3.0,-710.0,-3350.0,1150.0,1490.0,-3350.0,2,14
tls__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_SOLAR_WINDS__w500__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,500,3.0,1310.0,1990.0,-3360.0,2680.0,-3360.0,2,54
ols__ROBOT_LAUNDRY__ROBOT_DISHES__w500__z2.5,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_DISHES,500,2.5,620.0,3390.0,590.0,-3360.0,-3360.0,2,63
ols__SLEEP_POD_NYLON__SLEEP_POD_POLYESTER__w2000__z3.0,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,2000,3.0,4105.0,-3400.0,7375.0,130.0,-3400.0,2,10
ols__ROBOT_DISHES__ROBOT_LAUNDRY__w2000__z2.5,ROBOT,ols,ROBOT_DISHES,ROBOT_LAUNDRY,2000,2.5,5895.0,6750.0,-3495.0,2640.0,-3495.0,2,17
tls__ROBOT_DISHES__ROBOT_MOPPING__w500__z3.0,ROBOT,tls,ROBOT_DISHES,ROBOT_MOPPING,500,3.0,-2110.0,-3500.0,840.0,550.0,-3500.0,2,50
ols__ROBOT_VACUUMING__ROBOT_DISHES__w2000__z3.0,ROBOT,ols,ROBOT_VACUUMING,ROBOT_DISHES,2000,3.0,1040.0,-3550.0,2180.0,2410.0,-3550.0,2,6
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,3.0,1960.0,5290.0,230.0,-3560.0,-3560.0,2,24
tls__MICROCHIP_OVAL__MICROCHIP_CIRCLE__w2000__z2.5,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_CIRCLE,2000,2.5,16100.0,12110.0,-3620.0,7610.0,-3620.0,2,19
tls__ROBOT_LAUNDRY__ROBOT_DISHES__w2000__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_DISHES,2000,3.0,115.0,610.0,-3695.0,3200.0,-3695.0,2,8
tls__ROBOT_LAUNDRY__ROBOT_VACUUMING__w1000__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_VACUUMING,1000,3.0,7745.0,7440.0,4105.0,-3800.0,-3800.0,2,23
ols__MICROCHIP_OVAL__MICROCHIP_CIRCLE__w500__z3.0,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_CIRCLE,500,3.0,3440.0,4590.0,-3810.0,2660.0,-3810.0,2,48
ols__SLEEP_POD_NYLON__SLEEP_POD_POLYESTER__w1000__z2.5,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,1000,2.5,5115.0,5940.0,3015.0,-3840.0,-3840.0,2,39
tls__ROBOT_VACUUMING__ROBOT_IRONING__w500__z2.5,ROBOT,tls,ROBOT_VACUUMING,ROBOT_IRONING,500,2.5,1390.0,-3860.0,4430.0,820.0,-3860.0,2,108
ols__ROBOT_DISHES__ROBOT_LAUNDRY__w500__z2.5,ROBOT,ols,ROBOT_DISHES,ROBOT_LAUNDRY,500,2.5,25040.0,-3870.0,2730.0,26180.0,-3870.0,2,78
ols__SNACKPACK_VANILLA__SNACKPACK_CHOCOLATE__w2000__z2.5,SNACKPACK,ols,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,2000,2.5,4265.0,-3870.0,1235.0,6900.0,-3870.0,2,24
ols__ROBOT_IRONING__ROBOT_VACUUMING__w2000__z2.5,ROBOT,ols,ROBOT_IRONING,ROBOT_VACUUMING,2000,2.5,2070.0,-3880.0,4480.0,1470.0,-3880.0,2,18
tls__SLEEP_POD_SUEDE__SLEEP_POD_LAMB_WOOL__w500__z3.0,SLEEP_POD,tls,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,500,3.0,1485.0,1300.0,-3920.0,4105.0,-3920.0,2,61
tls__MICROCHIP_SQUARE__MICROCHIP_OVAL__w500__z3.0,MICROCHIP,tls,MICROCHIP_SQUARE,MICROCHIP_OVAL,500,3.0,22360.0,3190.0,-4000.0,23170.0,-4000.0,2,53
ols__SLEEP_POD_LAMB_WOOL__SLEEP_POD_NYLON__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,1000,3.0,660.0,1060.0,3690.0,-4090.0,-4090.0,2,19
ols__SLEEP_POD_LAMB_WOOL__SLEEP_POD_POLYESTER__w1000__z2.5,SLEEP_POD,ols,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,1000,2.5,-360.0,1930.0,-4110.0,1820.0,-4110.0,2,27
ols__SLEEP_POD_NYLON__SLEEP_POD_SUEDE__w500__z3.0,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,500,3.0,3460.0,-4140.0,4390.0,3210.0,-4140.0,2,35
tls__SLEEP_POD_SUEDE__SLEEP_POD_POLYESTER__w500__z3.0,SLEEP_POD,tls,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,500,3.0,2580.0,1400.0,5360.0,-4180.0,-4180.0,2,70
ols__ROBOT_DISHES__ROBOT_IRONING__w500__z2.5,ROBOT,ols,ROBOT_DISHES,ROBOT_IRONING,500,2.5,6765.0,-4210.0,805.0,10170.0,-4210.0,2,76
tls__MICROCHIP_TRIANGLE__MICROCHIP_OVAL__w1000__z2.5,MICROCHIP,tls,MICROCHIP_TRIANGLE,MICROCHIP_OVAL,1000,2.5,8880.0,4690.0,-4220.0,8410.0,-4220.0,2,44
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,2.5,-1640.0,1670.0,920.0,-4230.0,-4230.0,2,69
tls__MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE__w1000__z2.5,MICROCHIP,tls,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,1000,2.5,1085.0,-4295.0,1170.0,4210.0,-4295.0,2,48
tls__SNACKPACK_RASPBERRY__SNACKPACK_CHOCOLATE__w1000__z3.0,SNACKPACK,tls,SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,1000,3.0,3220.0,-4310.0,1540.0,5990.0,-4310.0,2,36
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,500,3.0,80.0,3420.0,1010.0,-4350.0,-4350.0,2,59
ols__SLEEP_POD_POLYESTER__SLEEP_POD_COTTON__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,1000,3.0,1450.0,-4510.0,2950.0,3010.0,-4510.0,2,18
tls__ROBOT_LAUNDRY__ROBOT_DISHES__w1000__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_DISHES,1000,3.0,-2210.0,2150.0,160.0,-4520.0,-4520.0,2,32
tls__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w500__z2.5,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,500,2.5,-1025.0,180.0,-4530.0,3325.0,-4530.0,2,98
ols__SLEEP_POD_LAMB_WOOL__SLEEP_POD_SUEDE__w2000__z2.5,SLEEP_POD,ols,SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,2000,2.5,6760.0,5650.0,5680.0,-4570.0,-4570.0,2,15
ols__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_DARK_MATTER__w1000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER,1000,2.5,4330.0,3300.0,-4590.0,5620.0,-4590.0,2,39
ols__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,1000,2.5,-740.0,-4600.0,3320.0,540.0,-4600.0,2,38
tls__ROBOT_VACUUMING__ROBOT_LAUNDRY__w2000__z2.5,ROBOT,tls,ROBOT_VACUUMING,ROBOT_LAUNDRY,2000,2.5,2440.0,1770.0,-4630.0,5300.0,-4630.0,2,29
ols__ROBOT_DISHES__ROBOT_VACUUMING__w1000__z2.5,ROBOT,ols,ROBOT_DISHES,ROBOT_VACUUMING,1000,2.5,625.0,-4690.0,1355.0,3960.0,-4690.0,2,36
tls__SNACKPACK_VANILLA__SNACKPACK_CHOCOLATE__w2000__z2.5,SNACKPACK,tls,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,2000,2.5,2365.0,-4700.0,435.0,6630.0,-4700.0,2,25
ols__MICROCHIP_TRIANGLE__MICROCHIP_CIRCLE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,1000,2.5,7900.0,5010.0,-4710.0,7600.0,-4710.0,2,36
ols__SLEEP_POD_NYLON__SLEEP_POD_POLYESTER__w2000__z2.5,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,2000,2.5,1065.0,2300.0,3475.0,-4710.0,-4710.0,2,20
tls__ROBOT_MOPPING__ROBOT_DISHES__w1000__z2.5,ROBOT,tls,ROBOT_MOPPING,ROBOT_DISHES,1000,2.5,-835.0,330.0,-4730.0,3565.0,-4730.0,2,53
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_SOLAR_FLAMES__w2000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,2000,3.0,2515.0,5050.0,2220.0,-4755.0,-4755.0,2,12
ols__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,2000,2.5,960.0,-4810.0,1990.0,3780.0,-4810.0,2,19
ols__MICROCHIP_TRIANGLE__MICROCHIP_SQUARE__w500__z3.0,MICROCHIP,ols,MICROCHIP_TRIANGLE,MICROCHIP_SQUARE,500,3.0,-770.0,1840.0,-4880.0,2270.0,-4880.0,2,40
ols__SLEEP_POD_SUEDE__SLEEP_POD_NYLON__w500__z3.0,SLEEP_POD,ols,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,500,3.0,-390.0,2860.0,-4920.0,1670.0,-4920.0,2,42
tls__GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_SOLAR_WINDS__w2000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,2000,3.0,1550.0,420.0,6120.0,-4990.0,-4990.0,2,12
ols__ROBOT_MOPPING__ROBOT_DISHES__w1000__z3.0,ROBOT,ols,ROBOT_MOPPING,ROBOT_DISHES,1000,3.0,-1040.0,-5055.0,2010.0,2005.0,-5055.0,2,22
tls__ROBOT_LAUNDRY__ROBOT_VACUUMING__w500__z3.0,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_VACUUMING,500,3.0,3595.0,7020.0,1650.0,-5075.0,-5075.0,2,50
tls__MICROCHIP_OVAL__MICROCHIP_SQUARE__w500__z3.0,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_SQUARE,500,3.0,530.0,5030.0,-5080.0,580.0,-5080.0,2,50
tls__MICROCHIP_OVAL__MICROCHIP_CIRCLE__w500__z2.5,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_CIRCLE,500,2.5,2520.0,4840.0,-5170.0,2850.0,-5170.0,2,106
ols__MICROCHIP_CIRCLE__MICROCHIP_OVAL__w1000__z3.0,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_OVAL,1000,3.0,770.0,2170.0,3810.0,-5210.0,-5210.0,2,25
ols__ROBOT_VACUUMING__ROBOT_DISHES__w2000__z2.5,ROBOT,ols,ROBOT_VACUUMING,ROBOT_DISHES,2000,2.5,-1200.0,-5240.0,2430.0,1610.0,-5240.0,2,14
tls__SNACKPACK_VANILLA__SNACKPACK_CHOCOLATE__w2000__z3.0,SNACKPACK,tls,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,2000,3.0,2005.0,-5270.0,2865.0,4410.0,-5270.0,2,16
tls__SNACKPACK_RASPBERRY__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,tls,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,1000,3.0,-380.0,-5270.0,2320.0,2570.0,-5270.0,2,29
ols__SNACKPACK_RASPBERRY__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,1000,2.5,1345.0,4060.0,2805.0,-5520.0,-5520.0,2,40
tls__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS__w1000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1000,3.0,-1550.0,3460.0,-5520.0,510.0,-5520.0,2,27
ols__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_BLACK_HOLES__w1000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,1000,3.0,2450.0,-5540.0,4220.0,3770.0,-5540.0,2,22
tls__MICROCHIP_TRIANGLE__MICROCHIP_CIRCLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,2000,3.0,-3480.0,200.0,-5600.0,1920.0,-5600.0,2,8
ols__ROBOT_IRONING__ROBOT_MOPPING__w2000__z3.0,ROBOT,ols,ROBOT_IRONING,ROBOT_MOPPING,2000,3.0,-4990.0,-5610.0,270.0,350.0,-5610.0,2,8
tls__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_BLACK_HOLES__w500__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,500,3.0,1720.0,-5705.0,7280.0,145.0,-5705.0,2,58
tls__ROBOT_DISHES__ROBOT_IRONING__w500__z3.0,ROBOT,tls,ROBOT_DISHES,ROBOT_IRONING,500,3.0,-3115.0,-5720.0,1795.0,810.0,-5720.0,2,61
ols__MICROCHIP_SQUARE__MICROCHIP_TRIANGLE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,1000,3.0,365.0,635.0,5460.0,-5730.0,-5730.0,2,25
ols__MICROCHIP_CIRCLE__MICROCHIP_SQUARE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,2000,2.5,550.0,3350.0,3010.0,-5810.0,-5810.0,2,17
ols__SNACKPACK_CHOCOLATE__SNACKPACK_VANILLA__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1000,2.5,-90.0,5130.0,630.0,-5850.0,-5850.0,2,44
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_BLACK_HOLES__w500__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,500,3.0,3440.0,4740.0,-5870.0,4570.0,-5870.0,2,37
tls__MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w2000__z2.5,MICROCHIP,tls,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,2000,2.5,-3310.0,530.0,-5910.0,2070.0,-5910.0,2,22
tls__ROBOT_LAUNDRY__ROBOT_DISHES__w1000__z2.5,ROBOT,tls,ROBOT_LAUNDRY,ROBOT_DISHES,1000,2.5,110.0,6120.0,40.0,-6050.0,-6050.0,2,56
ols__SLEEP_POD_SUEDE__SLEEP_POD_NYLON__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,1000,3.0,-1230.0,-6080.0,2750.0,2100.0,-6080.0,2,19
tls__MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE__w1000__z3.0,MICROCHIP,tls,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,1000,3.0,3720.0,4610.0,-6090.0,5200.0,-6090.0,2,33
ols__MICROCHIP_CIRCLE__MICROCHIP_OVAL__w1000__z2.5,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_OVAL,1000,2.5,-1800.0,3510.0,1050.0,-6360.0,-6360.0,2,36
tls__MICROCHIP_OVAL__MICROCHIP_CIRCLE__w500__z3.0,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_CIRCLE,500,3.0,3340.0,9050.0,-6420.0,710.0,-6420.0,2,70
tls__SLEEP_POD_NYLON__SLEEP_POD_SUEDE__w500__z3.0,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,500,3.0,3380.0,-6430.0,4930.0,4880.0,-6430.0,2,52
ols__MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE__w1000__z2.5,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,1000,2.5,-1420.0,3700.0,-6500.0,1380.0,-6500.0,2,36
ols__ROBOT_VACUUMING__ROBOT_IRONING__w500__z3.0,ROBOT,ols,ROBOT_VACUUMING,ROBOT_IRONING,500,3.0,-2750.0,-6510.0,3040.0,720.0,-6510.0,2,37
tls__SNACKPACK_STRAWBERRY__SNACKPACK_VANILLA__w1000__z3.0,SNACKPACK,tls,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,1000,3.0,-3980.0,-6590.0,180.0,2430.0,-6590.0,2,31
tls__SNACKPACK_RASPBERRY__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,2000,2.5,-3880.0,-6610.0,620.0,2110.0,-6610.0,2,23
tls__ROBOT_IRONING__ROBOT_MOPPING__w2000__z3.0,ROBOT,tls,ROBOT_IRONING,ROBOT_MOPPING,2000,3.0,-5110.0,-6610.0,570.0,930.0,-6610.0,2,10
tls__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_BLACK_HOLES__w500__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,500,3.0,-300.0,1870.0,-6640.0,4470.0,-6640.0,2,52
tls__MICROCHIP_RECTANGLE__MICROCHIP_CIRCLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,2000,3.0,1780.0,3680.0,-6680.0,4780.0,-6680.0,2,14
tls__ROBOT_IRONING__ROBOT_VACUUMING__w2000__z3.0,ROBOT,tls,ROBOT_IRONING,ROBOT_VACUUMING,2000,3.0,-270.0,-6740.0,5520.0,950.0,-6740.0,2,14
tls__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_BLACK_HOLES__w2000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,2000,3.0,1220.0,-6760.0,5620.0,2360.0,-6760.0,2,12
ols__SNACKPACK_RASPBERRY__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,1000,3.0,-3405.0,1010.0,2505.0,-6920.0,-6920.0,2,23
tls__SLEEP_POD_SUEDE__SLEEP_POD_POLYESTER__w1000__z3.0,SLEEP_POD,tls,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,1000,3.0,-4415.0,-6920.0,830.0,1675.0,-6920.0,2,32
ols__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_SOLAR_WINDS__w1000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,1000,2.5,-3955.0,1405.0,-7070.0,1710.0,-7070.0,2,44
ols__ROBOT_VACUUMING__ROBOT_DISHES__w1000__z2.5,ROBOT,ols,ROBOT_VACUUMING,ROBOT_DISHES,1000,2.5,-1760.0,1210.0,-7100.0,4130.0,-7100.0,2,34
tls__ROBOT_MOPPING__ROBOT_IRONING__w2000__z2.5,ROBOT,tls,ROBOT_MOPPING,ROBOT_IRONING,2000,2.5,-6065.0,550.0,660.0,-7275.0,-7275.0,2,19
tls__ROBOT_MOPPING__ROBOT_VACUUMING__w500__z3.0,ROBOT,tls,ROBOT_MOPPING,ROBOT_VACUUMING,500,3.0,-515.0,2190.0,-7280.0,4575.0,-7280.0,2,56
ols__ROBOT_MOPPING__ROBOT_VACUUMING__w500__z2.5,ROBOT,ols,ROBOT_MOPPING,ROBOT_VACUUMING,500,2.5,-5895.0,875.0,-7360.0,590.0,-7360.0,2,74
ols__SLEEP_POD_NYLON__SLEEP_POD_SUEDE__w500__z2.5,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,500,2.5,-1175.0,-7380.0,1885.0,4320.0,-7380.0,2,68
tls__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_DARK_MATTER__w2000__z2.5,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER,2000,2.5,-5990.0,-7380.0,510.0,880.0,-7380.0,2,23
tls__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w2000__z2.5,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,2000,2.5,-6030.0,-7450.0,200.0,1220.0,-7450.0,2,20
tls__SLEEP_POD_NYLON__SLEEP_POD_SUEDE__w1000__z3.0,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,1000,3.0,1255.0,-7510.0,3955.0,4810.0,-7510.0,2,28
tls__ROBOT_IRONING__ROBOT_VACUUMING__w2000__z2.5,ROBOT,tls,ROBOT_IRONING,ROBOT_VACUUMING,2000,2.5,-570.0,-7540.0,6500.0,470.0,-7540.0,2,22
tls__SLEEP_POD_LAMB_WOOL__SLEEP_POD_SUEDE__w2000__z2.5,SLEEP_POD,tls,SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,2000,2.5,-930.0,6390.0,230.0,-7550.0,-7550.0,2,17
tls__GALAXY_SOUNDS_SOLAR_FLAMES__GALAXY_SOUNDS_BLACK_HOLES__w1000__z2.5,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,1000,2.5,950.0,-7700.0,4360.0,4290.0,-7700.0,2,49
tls__MICROCHIP_CIRCLE__MICROCHIP_SQUARE__w2000__z2.5,MICROCHIP,tls,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,2000,2.5,-2400.0,4030.0,1270.0,-7700.0,-7700.0,2,22
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_BLACK_HOLES__w500__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,500,2.5,1210.0,4270.0,-8010.0,4950.0,-8010.0,2,64
ols__ROBOT_MOPPING__ROBOT_VACUUMING__w500__z3.0,ROBOT,ols,ROBOT_MOPPING,ROBOT_VACUUMING,500,3.0,-2765.0,5.0,-8170.0,5400.0,-8170.0,2,48
ols__SLEEP_POD_POLYESTER__SLEEP_POD_SUEDE__w1000__z2.5,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,1000,2.5,8000.0,-8245.0,4710.0,11535.0,-8245.0,2,45
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_BLACK_HOLES__w500__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,500,2.5,3645.0,4320.0,7620.0,-8295.0,-8295.0,2,77
ols__GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_DARK_MATTER__w2000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER,2000,3.0,190.0,-8370.0,2355.0,6205.0,-8370.0,2,13
tls__ROBOT_MOPPING__ROBOT_DISHES__w2000__z2.5,ROBOT,tls,ROBOT_MOPPING,ROBOT_DISHES,2000,2.5,-6175.0,1470.0,-8450.0,805.0,-8450.0,2,19
tls__GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_SOLAR_FLAMES__w1000__z2.5,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,1000,2.5,-2580.0,-8780.0,1390.0,4810.0,-8780.0,2,51
tls__ROBOT_VACUUMING__ROBOT_IRONING__w1000__z2.5,ROBOT,tls,ROBOT_VACUUMING,ROBOT_IRONING,1000,2.5,-7910.0,310.0,580.0,-8800.0,-8800.0,2,42
tls__ROBOT_DISHES__ROBOT_LAUNDRY__w500__z2.5,ROBOT,tls,ROBOT_DISHES,ROBOT_LAUNDRY,500,2.5,6500.0,-8950.0,3020.0,12430.0,-8950.0,2,93
ols__MICROCHIP_TRIANGLE__MICROCHIP_CIRCLE__w2000__z3.0,MICROCHIP,ols,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,2000,3.0,-1930.0,2020.0,-9040.0,5090.0,-9040.0,2,5
ols__GALAXY_SOUNDS_PLANETARY_RINGS__GALAXY_SOUNDS_SOLAR_FLAMES__w2000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,2000,2.5,-4650.0,-9060.0,1345.0,3065.0,-9060.0,2,22
