product,group,path_type,threshold,exit_band,train_days,test_day,pnl,trades,end_pos
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,2+3,4,3046.0,72,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,20,20.0,3+4,2,4656.0,108,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,20,20.0,2+4,3,7783.0,482,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,20,20.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,40,20.0,3+4,2,5171.0,76,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,40,20.0,2+4,3,8829.0,310,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,40,20.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,80,20.0,3+4,2,6844.0,70,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,80,20.0,2+4,3,10977.0,212,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,80,20.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,120,30.0,3+4,2,6824.0,50,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,120,30.0,2+4,3,8591.0,108,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,120,30.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,160,40.0,3+4,2,7076.0,50,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,160,40.0,2+4,3,10175.0,70,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,160,40.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,200,50.0,3+4,2,7582.0,50,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,200,50.0,2+4,3,10139.0,56,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,200,50.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,300,75.0,3+4,2,9511.0,50,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,300,75.0,2+4,3,12180.0,30,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_offset,300,75.0,2+3,4,-13633.0,10,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,20,20.0,3+4,2,12824.0,330,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,20,20.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,20,20.0,2+3,4,-12853.0,72,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,40,20.0,3+4,2,13162.0,212,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,40,20.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,40,20.0,2+3,4,-12647.0,58,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,80,20.0,3+4,2,13914.0,130,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,80,20.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,80,20.0,2+3,4,-12269.0,36,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,120,30.0,3+4,2,14225.0,94,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,120,30.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,120,30.0,2+3,4,-12579.0,30,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,160,40.0,3+4,2,15851.0,90,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,160,40.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,160,40.0,2+3,4,-11898.0,30,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,200,50.0,3+4,2,16236.0,90,-10
