product,side,horizon,group,splits,min_top5_edge,mean_top5_edge,min_top5_win,mean_corr,rank_score
MICROCHIP_SQUARE,short,1000,MICROCHIP,3,492.1463317871094,690.4715474446615,0.7560975609756098,0.38485615260676065,372.1106411073266
GALAXY_SOUNDS_SOLAR_WINDS,short,1000,GALAXY,3,355.51220703125,395.5447184244792,0.975609756097561,0.5254533690370655,346.8411775914634
PANEL_2X4,long,1000,PANEL,3,370.6341552734375,483.1788635253906,0.8780487804878049,0.5003325535046813,325.4348680449695
MICROCHIP_OVAL,short,1000,MICROCHIP,3,308.2926940917969,369.1544698079427,0.8292682926829268,0.3783041061909335,255.65735607612422
SNACKPACK_CHOCOLATE,short,1000,SNACKPACK,3,264.4634094238281,276.6666666666667,0.926829268292683,0.450197841630337,245.11242824647485
PEBBLES_S,short,1000,PEBBLES,3,338.8780517578125,357.1219482421875,0.6829268292682927,0.38591753363823256,231.4289133955793
UV_VISOR_RED,long,1000,UV,3,218.243896484375,372.0,0.926829268292683,0.46183195903602164,202.27483088795734
PEBBLES_M,long,1000,PEBBLES,3,271.243896484375,398.8211364746094,0.7317073170731707,0.4592228506323286,198.47114376905486
MICROCHIP_OVAL,short,500,MICROCHIP,3,252.7073211669922,272.34959411621094,0.7804878048780488,0.3194556857118638,197.2349823742378
OXYGEN_SHAKE_GARLIC,long,1000,OXYGEN,3,201.85365295410156,331.6666615804036,0.9024390243902439,0.3425946751359057,182.1606136415063
SLEEP_POD_SUEDE,long,1000,SLEEP,3,209.63414001464844,328.7317148844401,0.8536585365853658,0.4981768680995804,178.95597318323647
GALAXY_SOUNDS_SOLAR_WINDS,short,500,GALAXY,3,175.31707763671875,218.9593505859375,0.9024390243902439,0.2973578357877415,158.2129725014291
MICROCHIP_TRIANGLE,short,1000,MICROCHIP,3,195.8292694091797,266.8536631266276,0.7804878048780488,0.3668291431550612,152.8423566120427
GALAXY_SOUNDS_SOLAR_WINDS,long,1000,GALAXY,3,236.02438354492188,295.3008117675781,0.6097560975609756,0.5328340650890541,143.91730703958652
MICROCHIP_SQUARE,short,500,MICROCHIP,3,220.26829528808594,312.39024353027344,0.6097560975609756,0.2836832554407571,134.3099361512719
TRANSLATOR_VOID_BLUE,long,1000,TRANSLATOR,3,169.48780822753906,188.8943125406901,0.7073170731707317,0.3929678011395314,119.88162045362519
PEBBLES_S,short,500,PEBBLES,3,200.756103515625,249.2682902018229,0.5853658536585366,0.2833029970557686,117.51576791158536
TRANSLATOR_SPACE_GRAY,short,1000,TRANSLATOR,3,154.68292236328125,398.99998982747394,0.7560975609756098,0.40937744793787795,116.95538032345655
SLEEP_POD_COTTON,short,500,SLEEP,3,149.60975646972656,206.77235412597656,0.7560975609756098,-0.010646342138570096,113.11957196491521
UV_VISOR_MAGENTA,long,1000,UV,3,164.65853881835938,256.5365804036458,0.6829268292682927,0.3789155138710187,112.44973382717227
PANEL_2X4,long,500,PANEL,3,142.1219482421875,186.0162607828776,0.7804878048780488,0.3539827719733096,110.9244474085366
OXYGEN_SHAKE_GARLIC,long,500,OXYGEN,3,142.19512939453125,168.30894978841147,0.7317073170731707,0.2929419500699092,104.04521663014482
SLEEP_POD_COTTON,short,1000,SLEEP,3,148.43902587890625,263.0487772623698,0.6829268292682927,0.024308172437803182,101.3729932831555
UV_VISOR_RED,long,500,UV,3,114.46341705322266,200.50406646728516,0.8536585365853658,0.3798819549280818,97.71267309421447
OXYGEN_SHAKE_EVENING_BREATH,long,1000,OXYGEN,3,188.39024353027344,254.45528157552084,0.4878048780487805,0.23850107668866505,91.8976797708651
MICROCHIP_RECTANGLE,long,1000,MICROCHIP,3,151.2926788330078,251.38211568196616,0.5853658536585366,0.3971110871436178,88.56156809737043
UV_VISOR_ORANGE,short,1000,UV,3,107.29268646240234,226.0000025431315,0.8048780487804879,0.05275503014126345,86.35752812827506
SNACKPACK_VANILLA,long,1000,SNACKPACK,3,117.43902587890625,145.0243886311849,0.7317073170731707,0.33576526272494017,85.93099454554115
SNACKPACK_CHOCOLATE,short,500,SNACKPACK,3,108.36585235595703,143.86178843180338,0.7804878048780488,0.32331464083386147,84.57822622903964
TRANSLATOR_SPACE_GRAY,short,500,TRANSLATOR,3,115.78048706054688,268.3739827473958,0.7073170731707317,0.3639699624536301,81.89351523794778
