source_product,feature,mean_importance,min_importance
OXYGEN_SHAKE_MORNING_BREATH,group_mid_rank,0.019993505900917575,0.0070297058465360164
MICROCHIP_SQUARE,mid_centered,0.01664242554938331,0.012724631789686077
PANEL_1X4,mid_centered,0.015929698807726624,0.012562475037350718
TRANSLATOR_ECLIPSE_CHARCOAL,mid_centered,0.01552597761215431,0.01172084092916582
OXYGEN_SHAKE_MORNING_BREATH,mid_centered,0.015268977639620908,0.013652083278502791
TRANSLATOR_ECLIPSE_CHARCOAL,group_mid_rank,0.013063677699102813,0.0017214473553353066
GALAXY_SOUNDS_SOLAR_FLAMES,mid_centered,0.012849518365821941,0.009658030313437755
ROBOT_IRONING,group_mid_rank,0.012549607306980404,0.0017956224461817818
GALAXY_SOUNDS_SOLAR_WINDS,group_residual_z,0.01238640387130057,0.0028921264033112855
GALAXY_SOUNDS_BLACK_HOLES,group_residual_z,0.012352014492698163,0.008589453977762803
GALAXY_SOUNDS_SOLAR_WINDS,mid_centered,0.012339579161540997,0.003932570107053496
GALAXY_SOUNDS_PLANETARY_RINGS,group_residual_z,0.012005246626821273,0.009612697705258242
GALAXY_SOUNDS_SOLAR_FLAMES,group_residual_z,0.011942262496099712,0.006962740721071829
PANEL_1X2,mid_centered,0.011889268940413327,0.0038835260316929885
OXYGEN_SHAKE_EVENING_BREATH,group_residual_z,0.011854761716684021,0.007597258088866848
SLEEP_POD_LAMB_WOOL,mid_centered,0.011677159425545059,0.004508470429411358
OXYGEN_SHAKE_MORNING_BREATH,group_residual_z,0.011388831303537392,0.005007459608746358
ROBOT_VACUUMING,group_mid_rank,0.01086990465413118,0.006064602389340629
TRANSLATOR_ECLIPSE_CHARCOAL,group_residual_z,0.010442315215770806,0.004869562772482605
OXYGEN_SHAKE_EVENING_BREATH,mid_centered,0.010321846168139056,0.006831688694437434
SLEEP_POD_SUEDE,group_residual_z,0.010296534486158361,0.004497446928884212
PANEL_2X2,mid_centered,0.010291208433698164,0.009791468242336183
OXYGEN_SHAKE_CHOCOLATE,group_mid_rank,0.010273345890310159,0.0020750440155568707
PANEL_4X4,group_residual_z,0.009975612478707143,0.006430495204233085
SLEEP_POD_LAMB_WOOL,group_residual_z,0.009762008396847282,0.006445385224150677
OXYGEN_SHAKE_GARLIC,mid_centered,0.009697956136757174,0.008825256385394106
PEBBLES_XS,group_residual_z,0.009326805577757412,0.004717138414152853
OXYGEN_SHAKE_GARLIC,group_residual_z,0.009254260898334699,0.007531803257078857
ROBOT_MOPPING,group_residual_z,0.009075897486546334,0.004773189778361458
GALAXY_SOUNDS_PLANETARY_RINGS,mid_centered,0.00906147732741606,0.004342694024340005
PEBBLES_L,mid_centered,0.009021776525672938,0.005279912216096732
SLEEP_POD_NYLON,mid_centered,0.008913402045928135,0.003370182104423577
UV_VISOR_ORANGE,group_residual_z,0.00886475456579661,0.007907883544732715
GALAXY_SOUNDS_SOLAR_FLAMES,group_mid_rank,0.008855839933906493,0.0051696431689067165
PANEL_1X4,group_residual_z,0.008845241973096487,0.007877233863565267
PANEL_1X2,group_residual_z,0.008704414321166976,0.0062117318093524556
SLEEP_POD_COTTON,mid_centered,0.008702310248875975,0.006751198430661562
GALAXY_SOUNDS_SOLAR_WINDS,group_mid_rank,0.008670797320562003,0.006322793866909333
SLEEP_POD_SUEDE,mid_centered,0.008631815614742801,0.008025122198161422
UV_VISOR_RED,mid_centered,0.008597570601661662,0.006508683967755374
GALAXY_SOUNDS_PLANETARY_RINGS,group_mid_rank,0.008268068953911004,0.005692225595589516
TRANSLATOR_SPACE_GRAY,group_residual_z,0.008158207761315098,0.006523819339578662
ROBOT_MOPPING,mid_centered,0.00807763447095694,0.0069059802720048274
TRANSLATOR_VOID_BLUE,mid_centered,0.008055988907145303,0.0046286812064979975
SLEEP_POD_COTTON,group_residual_z,0.007897288682278332,0.0072102858982207975
GALAXY_SOUNDS_BLACK_HOLES,group_mid_rank,0.00783111081309885,0.006456995178762076
OXYGEN_SHAKE_CHOCOLATE,group_residual_z,0.007786547005708209,0.0032230944496724084
PEBBLES_L,group_residual_z,0.007719034784539,0.004262682846814292
PANEL_2X4,mid_centered,0.007675351052110255,0.004631639775587954
SLEEP_POD_POLYESTER,mid_centered,0.007637670940065712,0.004217377035040364
GALAXY_SOUNDS_BLACK_HOLES,mid_centered,0.0075848201383131005,0.006140620729374187
MICROCHIP_OVAL,group_mid_rank,0.007540652259110038,0.0015897451459318352
TRANSLATOR_GRAPHITE_MIST,group_mid_rank,0.007524487818116712,0.0042644434685773815
SLEEP_POD_POLYESTER,group_residual_z,0.007516233618502584,0.005913151347555845
TRANSLATOR_SPACE_GRAY,group_mid_rank,0.007456035065725071,0.005923291355316936
ROBOT_IRONING,mid_centered,0.00735207960582803,0.0065836211449580165
UV_VISOR_ORANGE,mid_centered,0.007184665079852902,0.0036133507223066216
UV_VISOR_YELLOW,mid_centered,0.0070604117589525665,0.003608910483079951
ROBOT_DISHES,mid_centered,0.007041535632249754,0.0049734676115442905
TRANSLATOR_SPACE_GRAY,mid_centered,0.006929802194961806,0.0038992124477203465
UV_VISOR_MAGENTA,group_residual_z,0.006917625029000056,0.0037187862754717157
